"BM_36_279"	"BM_36_544"	"BM_36_304"	"BM_36_327"	"BM_36_418"	"BM_36_328"	"BM_36_383"	"BM_36_495"	"BM_36_455"	"hB_RNA_12292_resequenced"	"BM_36_307"	"BM_36_375"	"hB_RNA_9105"	"BM_36_507"	"BM_36_368"	"hB_RNA_9085"	"BM_36_539"	"BM_36_403"	"BM_36_291"	"BM_36_492"	"BM_36_345"	"BM_36_352"	"BM_36_377"	"BM_36_347"	"BM_36_465"	"BM_36_297"	"BM_36_505"	"hB_RNA_12322_resequenced"	"hB_RNA_10892"	"BM_36_290"	"BM_36_545"	"BM_36_382"	"BM_36_390"	"BM_36_348"	"BM_36_471"	"BM_36_278"	"BM_36_1107"	"BM_36_281"	"BM_36_388"	"hB_RNA_12252_resequenced"	"BM_36_349"	"hB_RNA_10802"	"hB_RNA_10722"	"BM_36_541"
"ENSG00000034677"	2347.37661461428	2151.4008197275	4084.72553382077	3495.22205826017	5059.3475229856	5642.57055819378	5402.62680531575	3236.08967971461	4050.77790474046	2072.42806653855	4323.01668480989	2981.93103952407	2623.89562603035	7447.93815659128	5994.32227288098	1905.2651990108	2756.23419911166	2984.48070001236	3503.66381558227	5730.93561605802	3017.87391872759	3934.13993361095	2832.93256628099	4021.87310477352	4633.35494424583	3806.28542753508	2460.93557954822	2856.33344164493	2845.9733127638	3634.55382366576	3287.8837691085	3811.85123511487	4440.2365797121	3845.63123540222	2896.64857724628	2669.79742309101	3214.96697465716	3001.70031916573	6427.96454495937	2269.85683100777	2898.55216659228	2573.67593186598	3618.42303740344	4806.29350837569
"ENSG00000167703"	983.47223401485	1105.1295350009	695.154107185291	1409.96218910708	1071.19432943933	418.661193747849	915.766505898295	702.682480011224	775.040023485887	1422.58016319553	511.686826307259	1076.64633423129	1479.37918157577	696.958707094624	439.475918658659	1517.07299218658	923.26705167134	694.240769661536	718.107830310585	696.841505102148	882.7586665104	588.491946590872	776.789454155722	561.997397494094	1131.58391118197	789.359952941585	864.399105180519	898.119705546548	1402.8636127563	421.442565878053	797.350113076456	663.605823386375	364.473380918552	789.371534272639	1812.22340191246	727.131045501406	746.990860713159	899.42317952069	667.259721554232	2318.03107086686	729.246232691936	691.785330205433	595.975559101743	949.909536994193
"ENSG00000131849"	356.31054308737	278.478587118668	272.500410016634	307.435364542144	254.780595717342	258.447273235404	282.83933119537	239.820003711696	246.10275627277	230.26978517095	272.68906998679	303.445037290121	256.695931049677	258.568154402727	284.36677089678	304.530093284513	242.777105621234	247.134621808862	303.139470195459	228.230779379658	294.76197687977	252.50173486944	373.645560226803	258.603313734125	203.253708386791	292.393804558205	212.486067661432	279.26607759532	310.469815937869	303.397228015404	246.573045031877	314.721014523335	225.022696045367	289.079341157798	262.379696392463	307.716602087191	245.855036175835	289.844327740806	278.828635288102	284.794770931687	291.468083524581	273.587418725312	278.83142229403	227.760633665547
"ENSG00000111450"	1106.14781751495	1229.8738863285	900.919722912137	1133.27036101915	1010.75367717062	972.977969827404	1002.79399241995	957.30618765574	973.391498690806	751.698000630169	851.758523626692	1025.09958110188	988.182832311538	876.781105383793	869.257515582201	893.51137260401	948.258812544114	1029.09874959339	1003.68739217155	1030.07579894925	1003.41253269435	1094.51356848648	1177.74828632893	755.527328360481	1086.78513463958	1022.86171912588	1058.09388794672	891.41731968426	539.010097114356	845.991588015649	1092.07055743408	748.497675988064	830.365441744874	1065.79757093531	1203.68867369402	1018.42149445227	1195.49956888058	1013.54938356863	968.00884703794	929.479451398938	1088.68513411355	961.46435723467	1094.04084777963	1031.5302418914
"ENSG00000231364"	125.432338185496	74.6709145270877	101.955935720509	165.37902368474	111.582742649931	159.044475837172	73.1822045750258	72.0446924730608	83.0137655487254	112.920760035754	101.073940998965	99.2031852679241	61.7614270194712	51.7136308805454	116.33186082141	60.2367217485849	125.672854674521	113.19142983612	107.207861410589	69.4238112181468	91.6358477346436	91.6336941058451	206.488335914812	174.092426892907	68.0277717865995	145.680305451261	67.937722313519	49.1508296567762	89.1163360562401	82.8388335878236	93.3767744499417	72.4686546599785	132.055572796577	159.626302861545	74.4669648297898	120.458456333064	80.1188935780675	249.990732676445	133.276580389282	65.1769127505353	105.988394008939	130.931121818542	104.295722842805	96.3901657833715
"ENSG00000145191"	780.850764638279	465.595114110076	750.766435760114	708.161460393629	488.174499093446	591.739005688301	502.385944920447	443.1242043891	459.881568438072	576.781529202235	679.090541086794	576.740086900774	579.013378307542	393.728780567789	599.432227288098	690.491310414335	514.116223668496	658.396816880098	521.2520158239	596.176978835835	500.942634282718	672.998575599596	540.802784538794	848.48930388582	418.951521368692	508.33127859589	435.090519497218	558.532155190639	804.921745024105	919.511052824842	481.473993257512	930.704579133153	721.551649760495	521.705477645049	556.756916735225	659.236279204588	486.997196258842	659.395845610334	608.51280783001	419.399264655618	555.287020785961	414.289519784045	506.579225236482	562.016853720787
"ENSG00000246851"	43.4188862949793	43.9240673688751	46.3436071456861	48.7656095480643	62.3003646462113	71.3361251916727	56.3700764969793	45.3980253939835	47.7512810678509	40.9614521698325	52.6426776036275	46.6838518907878	34.7408026984525	51.7136308805454	35.5458463620974	34.5803402630765	45.6992198816441	50.936143426254	49.9071078980329	51.2000607733832	45.8179238673218	41.7442384259961	45.8862968699582	37.1847902101356	40.6507416773582	45.4605208500389	40.4735366974156	49.1508296567762	22.9977641435458	39.3484459542162	40.8523388218495	34.1637943397042	38.0320049654141	54.5065424405275	54.1049041341442	49.2784594089808	39.2739674402292	55.2515749755912	37.7032431364415	31.1715669676473	40.3216716338353	41.0381128087969	51.083619351578	48.9724229383258
"ENSG00000171174"	385.256467284023	493.706517226157	345.723309306818	338.178900996359	532.807596153419	456.083423356596	417.336355819741	398.713092590638	458.412298251368	331.012816183241	372.710157433682	459.05787692608	317.492335771969	517.136308805454	397.467191139817	232.022928216772	458.420299437742	373.531718459196	445.467148275035	341.912270249373	566.614991825879	375.698145833965	509.119389080965	263.673966944598	489.468114074313	452.538821189024	456.772771299405	280.383141905701	168.171150299679	266.119752900883	439.162642334882	197.735900572227	360.247602589061	553.82540444036	469.490942325316	428.175058420256	402.950905936751	472.80855962719	426.134329402571	405.230370579415	404.36876409932	414.289519784045	197.949024987365	403.439484206208
"ENSG00000135108"	3241.25432135378	2544.08198200525	2950.23403089437	3196.2676692916	2131.23038461367	3345.78121595698	3084.53102796629	3207.46918544449	3244.14857224045	3238.16885396649	3729.20728144097	2559.83121201153	2793.73955033389	2489.30614102262	3260.52354357785	2111.63174574206	2671.97626245488	3254.25360778845	2773.54131114809	3277.67168713675	2468.05883231973	3279.46809683252	2730.23466376252	4366.67752308569	3389.77409170787	3117.14525919471	2983.47784798092	2968.03987268306	5223.36718110285	3624.19896946728	3046.41726642935	4094.47898828879	4039.84408299287	2478.10101881398	2705.82697986994	3083.73648212645	2834.00949048694	3769.78778767886	3085.52819993343	2675.08720158719	2628.97299052606	2339.17243010142	2605.26458693048	2857.50201144898
"ENSG00000134910"	580.296861275756	481.407778362872	646.956755753777	678.478045886111	632.302208349607	797.561268536406	794.125814510077	654.323713830676	855.115248661207	732.877873957543	832.807159689386	589.383630121196	695.78107626623	826.242784295987	838.558830087662	529.860052418108	592.661757840071	556.52453002759	629.384082936304	719.404243748046	638.396405884684	728.996944219834	561.56087121806	872.997461069773	597.317020565264	548.625831167515	671.427064141055	768.540245542319	1057.89715060311	961.965955038602	664.580011905445	716.404414638645	838.816998403855	646.291860366255	474.145127627177	665.806740459119	562.403213744082	606.861561207313	771.601254885315	782.122953006423	615.193504356231	717.189876229926	766.25429027367	651.410959084397
