"hB_RNA_4697"	"hB_RNA_4442"	"hB_RNA_4746"	"hB_RNA_16015"	"hB_RNA_4663"	"hB_RNA_16605"	"hB_RNA_4581"	"hB_RNA_16945"	"hB_RNA_16025"	"hB_RNA_4674"	"hB_RNA_16395"	"hB_RNA_16935"	"hB_RNA_16225"	"hB_RNA_16845"	"hB_RNA_16385"	"hB_RNA_4701"	"hB_RNA_16775"	"hB_RNA_4831"	"hB_RNA_4498"	"hB_RNA_17105"	"hB_RNA_4688"	"hB_RNA_16435"	"hB_RNA_16345"	"hB_RNA_4591"	"hB_RNA_16485"	"hB_RNA_17145"	"hB_RNA_9227"	"hB_RNA_16065"	"hB_RNA_16535"	"hB_RNA_16315"	"hB_RNA_16115"	"hB_RNA_16295"	"hB_RNA_4389"	"hB_RNA_17045"
"ENSG00000102007"	52.2719839122477	69.0752283419873	30.9696071991785	77.2101985673683	32.5674139318423	58.3915045572685	73.4076655431954	140.656346713127	30.5839982916276	28.785030045193	79.0854857549971	51.8447759348879	41.7889141096527	55.8038342894959	43.9122908043179	42.0605089106335	40.5749102806898	35.192441507254	39.7237706056029	31.0942620609419	27.9903142148978	50.4856523854972	33.637413886762	73.1804259017269	32.5792946790567	67.2780967995174	18.1395403764597	39.3392095866631	24.1012474156784	32.0403037870829	148.339280889224	50.0598184883197	61.1444552803246	52.2703309445013
"ENSG00000178750"	74.6742627317824	60.0654159495542	70.1977763181379	72.1472347268851	92.4494330968426	40.6655121023834	55.6118678357541	42.7310420394308	44.6996898108403	55.7709957125614	66.2111043530208	58.6440908115945	48.3871637059137	39.7065743982952	39.8274265434511	52.8760683447964	68.6652327827058	68.4297473752162	72.8269127769386	54.4149586066484	64.5930328036102	70.2409076667787	60.8677013189027	50.8197402095326	42.8849899346766	68.8071444540519	67.2230025715859	42.365302631791	65.730674770032	52.0654936540097	37.3441546294551	73.7244599555254	63.1491915190238	77.1609647275972
"ENSG00000078747"	1903.2602713763	1861.02680417035	1764.2352901132	1804.94660913225	1694.55608619554	2112.52121844689	1854.09967364404	2008.35897585325	1898.56050933411	1876.42414607102	2007.48390003673	1724.47623560471	1787.02593232068	1554.99530548999	1729.94001447708	1589.88723682195	2130.18278973622	1671.64097159457	1811.84531484444	1841.47129760912	1663.27059469296	1749.43760657571	1645.02971722403	1532.7233647195	1345.39189353206	1687.04924550305	1970.807710313	1957.88220019777	1758.29555009836	1767.22300575629	2512.43173645945	1737.53079080368	2021.77649672811	2308.60628338214
"ENSG00000049759"	4428.1837799947	6894.50866074299	6060.75212887923	6193.27051787103	6996.74118664741	4335.56921337718	4312.14423198437	4345.21283738462	6022.69504819743	5227.18154976926	4925.37048492749	5558.43991170765	5595.31565762929	6296.17491877832	5285.81435356161	8010.72435423665	5639.91252901588	7170.45995710301	5900.08337300441	7584.40875436475	7438.96427788244	5986.57402634983	6604.14559310094	4671.35052006023	7483.92940627473	6181.93966728293	5568.83889557312	5191.76696775782	7740.88246541744	5309.67909321564	3999.97389586608	5572.11288700897	5718.51012088937	4956.96971790354
"ENSG00000164983"	1304.9327412379	1295.41080397872	1899.46924154961	1723.93918768452	1893.1122550058	1218.92265763298	1233.47122859703	1891.7388402873	1711.52759670454	1399.67208594751	1410.66436218797	1602.08856782399	1755.13439260541	1704.16324714845	1907.63160982479	2047.74591953484	2507.8415700411	2689.289071846	1498.46890228913	1729.18646238905	2321.04297874306	1466.27894754401	1114.84000310411	1044.85385870799	2191.78867162266	1872.57369425323	1849.16608661204	2085.98680577485	2303.86015068962	1805.27086650345	1854.7596799296	1995.11131138903	2189.17197265949	2119.43746663061
"ENSG00000177699"	86.8088304256971	52.0566938229469	123.878428796714	50.6296384048317	105.056173973685	98.0143112211292	88.9789885372066	94.3643845037431	96.457225381287	117.838716747509	128.743814019763	91.7907508355392	112.170243136436	131.997531107846	128.673224217304	117.769424949774	65.5440858380374	143.702469487954	89.3784838626065	127.831966250539	97.9660997521422	131.70170187521	92.9033335920093	74.1968207059175	119.014158113289	136.594923805081	109.904274045609	114.991535714861	107.360102124386	120.151139201561	207.467525719195	109.221422156334	106.251020651056	114.496915402241
"ENSG00000281026"	153.082238600154	162.176623063796	140.395552636276	174.672252496669	195.404483591054	102.18513297522	122.346109238659	94.3643845037431	107.043994020697	121.436845503158	168.286556897261	124.087496499896	107.771410072262	111.607668578992	81.6972852173356	213.907731031222	123.285304314404	187.693021372021	145.653825553877	211.613727914744	147.487424901577	171.212212437773	131.346092319737	124.000166111259	128.987411586469	148.827305041357	174.993213043493	100.869768170931	159.944641940411	94.118392374556	184.646097890084	124.694456961815	182.430997721624	166.767246346742
"ENSG00000285774"	403.241018751625	401.437196596187	247.756857593428	612.618624698463	278.398861030265	252.334716122482	203.53943627886	242.142571556775	230.556294813808	268.06059229586	417.497796892659	283.871396102501	202.346320952003	275.79971946924	179.734027478138	431.420648540498	235.646594322468	395.914966956608	312.272974482934	358.447743202525	331.577568391866	253.891614170544	291.524253685271	358.7873658793	412.227810224799	316.512864488639	278.495296367999	204.76562938699	296.883547711311	152.191442988644	389.001610723491	263.041591693171	347.821737414305	464.210320054738
"ENSG00000254452"	79.3414041525188	98.1068460509385	107.361304957152	91.1333491286969	84.0449391789479	131.380885253854	133.46848280581	182.497158710069	129.393838926117	107.943862669474	125.985018005054	101.989723150599	130.865283659176	167.411502868488	194.031052391172	74.5071872131222	98.3161287570561	74.2951542930918	81.6544173559615	83.7817616642047	89.3536953783275	94.3862196772339	99.3104600466307	95.5411115939212	140.622873971847	126.401272774851	51.2175257688273	179.548187344257	94.2139671703792	176.221670828956	142.115255117649	127.424992515723	81.1918176673163	105.785193578157
"ENSG00000181626"	57.8725536171314	28.0305274431253	130.07235023655	48.0981564845901	115.561791371053	55.2633882417005	90.0912258939216	42.7310420394308	61.1679965832552	55.7709957125614	85.5226764559852	48.4451184965346	124.267034062915	47.2186290141889	79.6548530869022	50.4726106927602	95.1949818123876	87.9811037681351	115.860997599675	77.7356551523548	55.9806284297955	65.850850937605	15.2169253297257	70.1312414891549	57.5124283620082	79.5104780357933	78.9603522269421	55.478372494012	66.8261860161992	110.138544268097	34.2321417436672	91.9280303149144	30.0710435804875	95.8289400649191
