"hB_RNA_9156"	"hB_RNA_9219"	"BM_22_268"	"hB_RNA_7805"	"BM_22_138"	"hB_RNA_9145"	"hB_RNA_7705"	"hB_RNA_9221"	"BM_22_275"	"BM_22_152"	"BM_22_124"	"BM_22_137"	"BM_22_243"	"BM_22_113"	"BM_22_234"	"BM_22_65"	"BM_22_174"	"hB_RNA_9203"	"BM_22_166"	"BM_22_267"	"BM_22_143"	"BM_22_1111"	"BM_22_222"	"BM_22_125"	"hB_RNA_7715"	"hB_RNA_9154"	"hB_RNA_9162"	"BM_22_175"	"hB_RNA_9155"	"hB_RNA_7675"	"hB_RNA_9195"	"BM_22_136"
"ENSG00000007923"	972.574133075329	1077.92311434209	805.801408651777	847.242633591089	803.567758976607	1087.39889533864	979.167910843831	942.092718211336	883.676857751355	877.945844954515	819.964530707675	707.206565830046	725.965720644659	979.010019646237	859.841937880923	728.769677850972	798.406050276966	1103.44198810613	743.068030000481	643.72608208936	653.17183952234	883.278605233241	877.450483858693	810.187599552003	953.464548940539	978.499641518762	945.142741883679	771.207507668191	863.569469060492	1261.28957392228	913.054958933486	796.748697513624
"ENSG00000271554"	156.697362574693	178.016915238728	198.120594275953	181.900795972727	165.03768323376	177.860544095546	132.093315595635	144.937341263283	175.189581128549	175.289528770782	228.718759039902	182.582078438648	182.298058739659	175.553030088367	149.747753226453	147.659215773726	149.220398606678	164.132051994281	190.488157966974	154.001455045301	135.816853088093	201.286878553902	162.446913903569	213.320671158639	99.7692138589345	141.919795334782	167.454637964174	173.598502722123	125.751739695665	147.286826982583	151.906488742916	193.826916725596
"ENSG00000109062"	853.519153688971	586.841968855946	347.95969919054	899.737494173822	265.213394890934	751.913437912906	584.984683352096	765.752286341009	570.654297352552	484.668056045709	386.643616472215	302.974627976795	283.933259629911	349.248356154635	484.667459367337	394.393002131115	257.674399655861	454.823758538369	254.531590386905	304.922880989697	521.822646075303	252.932853972337	534.77049759496	729.025189313194	399.076855435738	631.703149159332	825.972570080955	398.662048286644	1000.4496812956	762.150882481304	574.497412213902	282.163962843899
"ENSG00000228436"	1038.22945258987	1052.14135420407	692.589640494089	918.049654842217	764.650576030655	980.895575520944	569.25928863833	780.246020467338	839.879462469218	676.437796923146	764.729728354501	593.192429512463	582.385833672715	1032.88343628711	619.118399092163	502.04133363067	564.576147305677	637.742009254887	509.06318077381	468.164423337716	456.59481531589	746.880259897373	801.562874443887	1063.73035012102	501.931715084124	507.923478040273	1170.12780761469	670.581826886783	596.486128113948	886.05884803808	751.452311334639	888.516308529725
"ENSG00000264589"	731.83796152203	681.37508936203	366.273367568989	788.643719452224	444.664849586158	606.003889762668	599.661718418278	462.59168086531	435.397635451834	483.169854945104	473.774572296939	416.988764294379	351.690060223413	799.741581513672	319.622892639257	353.429477755177	350.744854456933	695.089352722768	318.575022806836	364.983448457364	423.534133972078	474.083569225637	381.809534868242	394.320028505363	512.217201048963	654.111537896402	506.47323016158	456.27217087142	416.204872975031	604.343567857108	552.681054788057	466.556826100551
"ENSG00000124140"	4149.41619331869	3789.91874028934	4709.94253114851	2719.96626461231	4854.55822822101	3565.73114749633	4303.51635333397	3691.07095750493	2974.35840313102	3621.15206016222	3916.22528233628	5038.94644424565	4530.02609682267	3364.30198402151	4522.22112834939	5109.9615058727	5255.01939835475	4943.73650585183	4524.09375171564	4872.60603763334	5847.27293821367	4012.49501327844	5819.63104699792	1822.92209899201	6996.18755328323	6385.32372393487	1323.19983863715	3995.83810248001	7530.6373674386	6326.31990182334	7143.64503710704	4428.00164183298
"ENSG00000285737"	96.2944686213198	116.63177205296	129.860557592642	114.756206855277	91.5274487802951	91.5928550432151	120.561359472206	65.2218035684771	144.273772694099	163.303919965942	107.357784855464	59.7976239427886	51.6242290236202	103.102573226501	118.349030775745	96.2166502783637	86.1478589894221	100.852224719377	90.3176611050309	67.7606402199326	75.0566819697353	90.0493930372719	88.9307922829756	64.64262762383	46.2846868417738	80.0299597752531	65.7490603049516	109.843300394971	42.2881956498695	126.245851699357	75.9532443714581	69.4689391804129
"ENSG00000120688"	399.18434264838	421.102082254371	529.431504031539	467.570502399693	588.802564200796	408.972748099937	680.385411282277	574.918120344354	575.806932091627	584.29842923594	491.667536439517	597.976239427886	492.04343288138	335.315575988892	592.550249326179	704.953675306823	506.118671562855	452.846263936028	543.548105923004	588.285558273051	623.685285891372	467.462290325838	512.24136354994	455.37139903898	758.040315608606	516.460007082967	464.352738403721	516.186698359586	845.763912997389	494.462919155815	472.687744226628	568.616131810046
"ENSG00000225377"	641.671322722067	674.008872179737	296.348451942182	838.696958612504	332.237432186741	641.149985302506	436.117613395111	501.241638535519	332.344940670335	255.443287653148	316.627669827347	255.933830475135	256.507887961113	537.805314397696	238.308252446398	251.496986866218	223.830597910016	362.870259529525	220.867734884121	190.961804256174	257.337195324807	328.41543343005	350.980193543477	392.883525669278	433.018959119706	440.698311829061	780.7700911213	259.629619115387	402.850705927704	473.421943872589	495.312114890466	371.358650186651
"ENSG00000168502"	2964.11882501626	2853.18145527452	2670.46582536663	2112.00253042159	2387.64124259148	3068.36064394771	1659.55332212611	1649.87006804703	1843.35507790407	2095.98333974636	2405.43674473257	2040.29492892795	1726.1851579773	2443.8096410714	1606.97051311828	1353.70158460945	1898.32960701691	3530.81661247938	2019.01026052064	1375.23299355454	1569.93559786696	2595.54132872137	2064.38012486214	816.651862314386	1762.93229437334	4809.26704942755	1447.5066557762	2464.94511166058	1746.05734143803	3033.40726999844	3045.40189400027	2117.51618316592
