"BM_10_650"	"BM_10_623"	"hB_RNA_13599"	"hB_RNA_12464"	"BM_10_593"	"BM_10_811"	"hB_RNA_12545"	"hB_RNA_13655"	"BM_10_740"	"BM_10_722"	"hB_RNA_13262"	"BM_10_657"	"BM_10_639"	"BM_10_748"	"hB_RNA_13193"	"BM_10_744"	"BM_10_787"	"BM_10_588"	"BM_10_624"	"BM_10_703"	"BM_10_616"	"BM_10_621"	"BM_10_631"	"BM_10_743"	"BM_10_699"	"BM_10_566"	"BM_10_739"	"BM_10_719"	"BM_10_697"	"BM_10_671"	"hB_RNA_13444"	"hB_RNA_12638"	"BM_10_656"	"BM_10_729"	"BM_10_647"	"BM_10_584"	"BM_10_813"	"hB_RNA_12924"	"BM_10_576"	"BM_10_735"	"BM_10_666"	"hB_RNA_13081_resequenced"	"hB_RNA_13389"	"BM_10_792"	"BM_10_780"	"BM_10_659"
"ENSG00000107021"	652.300651179277	548.867636659221	781.354469806596	810.162981806645	519.810690433123	633.567905330358	789.611791442724	783.428526051725	439.958259482335	619.491320181769	833.934588609158	739.42077843912	444.924406848066	472.206910490899	674.261581491364	563.289228936268	457.601808598112	524.47270897894	548.887947517917	365.726917849089	490.877402659529	591.482316166784	697.984228219727	650.835526699185	400.47089278772	427.848607044182	354.3982103037	649.166742631287	547.322630000399	526.380108172966	870.541449628932	729.452109355274	606.497479011244	390.788834382783	678.038106603525	543.699629813854	396.498572514692	954.671597280716	454.446438665158	449.980143952036	460.870388096324	1022.24272791119	833.770331880095	743.448883507582	602.777182238549	716.408977414437
"ENSG00000196418"	902.84739725218	780.508385012011	1073.76805941982	1354.15033404306	978.241520741302	1342.61948688172	1136.9935555459	1170.05559085647	1030.64295971325	1303.44747317433	1504.91644151308	997.859108767356	725.400367633192	1132.18551009465	950.881717487822	1136.78633516792	986.099672049453	829.344372772934	1174.93274175099	1667.82501481431	931.576226380528	1009.74481117044	1110.46530320155	1192.35102352312	1225.42172469336	1101.63394307813	1027.38755784933	1173.04094037648	914.028792100666	1132.68778157827	1128.63333793646	701.084527324791	987.243118612747	1384.42245979017	1324.05161208082	1716.77277050314	1323.41943751579	1253.13646484016	988.048507015847	1160.68407719393	1122.07629821311	1087.74565999094	1254.33029360218	975.17321083462	1078.83416139286	979.244372949925
"ENSG00000033100"	742.849124321414	661.432016380858	776.59977729256	750.528004689818	743.271743700499	695.439771085276	885.645657969542	737.181269496133	581.518903158364	669.805336034096	806.049628488475	785.185899434745	846.909497224142	643.31247335113	868.279871322213	622.680515018511	444.711616806616	730.056666173358	826.26192811416	429.131835767649	748.315329387637	707.666342556688	737.418365407282	752.528577745933	569.494578952321	630.085834601884	573.831299066872	781.186404021328	596.581666700435	662.256969067939	693.777551849177	786.18727341624	849.938828225479	512.973457019261	771.903316801081	584.339804163577	558.894264448901	1074.26553375924	743.131676341796	484.390390254251	598.045942583238	831.688743679203	692.49484959287	753.981807476992	671.274589311111	660.738980443379
"ENSG00000266983"	110.768035105915	134.891198839978	121.24465910792	244.35795501529	87.2744886151554	90.33292400218	78.2498171699996	138.741769666775	56.0132043322417	124.998883133123	271.878361176653	88.8381760503311	86.7922354221074	73.8864930532818	118.139849748487	90.9429068134338	51.5607671659845	140.170879905285	108.410252979517	60.6481823568841	130.900640709208	175.332258006582	113.570315100159	77.5409514231451	55.7009874860617	139.228644097513	53.2515445534057	92.4978519293284	62.9421024500459	93.6294335578811	277.179069757925	91.8569322891827	91.8169794614244	69.6755286108838	183.313234032875	132.904353954498	68.5436362059973	149.752407416583	94.0555129204529	62.2031375463109	77.9630849242175	301.710475033983	221.304368207155	121.128625648225	87.334194017517	93.0875359188186
"ENSG00000165752"	1301.08485679964	1572.18017958319	880.410563849014	1931.59145393039	1260.20525319027	1182.99007323403	1517.57221178181	1357.81945247218	671.14003008995	1077.03440183886	2377.19285028817	1753.43228285199	1322.89638832854	882.749153847104	2034.31058347395	1207.31348739059	464.04690449386	1684.38674019517	1196.41945855774	763.615750584404	1647.16639559086	1375.19638508777	1217.7261563517	1310.56919536496	806.703956694687	1301.83863568551	712.468940921428	1431.19403621561	1063.63031096744	1316.52118161265	1709.54755599199	978.006161431886	1183.51244168166	628.089547767678	1794.48195965917	1209.31978267688	732.889648664125	1570.32038332667	1295.35859873614	839.080621369386	936.543893583322	2810.67126742184	1909.26056408978	1443.8883274734	998.349708082596	1519.51713043954
"ENSG00000183354"	3783.6954213957	2798.2946628321	3454.28411144721	3637.73360412643	3024.87623178242	3536.5958465511	3539.0258220068	3551.78930346945	3948.42169447456	3902.48085454607	3993.64913228398	3288.80722448953	3182.99103379602	3482.66484925582	3014.96738504472	3688.75565901428	4608.24356545986	2697.12134751085	3350.95115290743	4635.91030288606	2687.82648922907	3046.13392825894	3521.46845084868	3345.701379438	4087.30004725308	2572.17297964092	3861.65511020042	3564.53085753112	3738.21356290272	3633.27875098997	3124.48861568439	3632.40133714136	3415.76010748694	4422.88138138654	3845.16072832813	2898.63297591669	3770.95450880994	3073.04419386113	3014.43262696541	3979.67733195227	3967.23546070069	3390.27296946081	3794.83911091753	3963.01264349083	3618.37552860811	3863.13274063097
"ENSG00000159398"	36.0435669789088	268.852113550025	41.207335121646	52.3624189318478	105.496634589748	44.5477433435408	58.0945612322725	36.9978052444734	63.1421576108906	47.169389861556	35.7276051546243	93.3249526185297	77.6562106408329	27.7768770876999	49.9453023326937	60.3192749272775	48.3382192181104	234.786223841352	64.4601504202536	46.8645045485013	171.261671594547	212.299902767006	113.570315100159	47.0330361091208	41.2955596879423	309.96157992512	33.9708129047588	39.521809460713	29.1905402666879	51.3820062207884	24.8963236309513	63.4893502586998	40.4331652674162	23.225176203628	39.7546772601415	199.905722477013	67.489118725905	35.3582073066932	112.680366964107	41.0276013603327	45.3962266647343	37.7138093792479	46.5474132391434	34.2320029005852	51.3730553044218	42.8932763547498
"ENSG00000014123"	734.937121813848	984.240609466874	1489.80365439797	619.621957360199	1336.93007834645	898.379490761407	1285.19396685272	1246.82603673875	1245.52997996967	965.400179166513	615.211932662555	813.901269471216	1487.34483439148	881.082541221842	824.097488489445	811.990239405659	1495.26224781355	866.72327408101	1683.77726249269	1293.82789028019	1217.37595859563	913.628934793336	1148.32207490161	898.712338625633	1156.27567126238	1304.887438111	1418.51097129331	775.300177080371	1098.29407753413	833.530323137234	1093.77848485313	1315.71547131859	850.781185835217	1135.0042631686	765.277537257724	1193.94241940941	904.775997919164	775.800666199798	1202.23432851787	1375.08638107696	1101.35193386616	676.863631490712	939.114477631841	764.514731446403	907.590643711451	914.448146967218
"ENSG00000166025"	1138.44924969968	1296.81607712365	1264.7482087336	1319.24205475517	1340.76631960426	1207.738819536	1059.92934166636	1281.04900658989	928.800770018262	1029.07885547961	1174.65394508375	1092.08141669953	1395.98458657874	1329.95687495907	1517.56880164723	1043.05946181938	1192.34274071339	1287.23591379686	1007.92235202578	1257.07141612451	1278.46292425993	1177.68354022494	1044.21595272646	1219.04544942289	1345.46695634435	1341.47306721691	1119.20056570003	1261.33434449084	1096.46966876747	1136.11324865965	1536.93304548406	1335.97802991179	1142.23691880451	1124.90636047137	1041.3516848976	1008.31567710933	1453.12508756714	1305.13382852647	1173.3658047502	1274.50258419356	1170.43314835597	1369.60676166742	1300.87770684132	1170.03230426872	1171.30566094082	1140.77862645611
"ENSG00000281167"	36.9226783686383	172.102564037213	28.5281550842165	42.1808374728774	103.578513960844	55.684679179426	55.7233546513634	66.5960494400522	36.6631882901946	47.9555463592486	25.2707451093684	37.6889231728678	76.7426081627055	55.5537541753999	43.2218962494464	39.9035203365067	70.8960548532286	188.062597206257	53.716792016878	96.4857446586792	112.356383275403	115.127807968178	60.728571268835	64.8293200423017	91.2343760547563	222.562577060988	48.6608941608708	52.1351529056215	46.5224235500339	45.6728944184786	42.3237501726173	27.0167447909361	44.6449533161054	26.2545470127968	43.06756703182	135.101120135564	37.9626292833216	56.1571527812186	92.1930275160875	64.8500795695582	52.3043481137156	53.593308065247	48.9972770938352	40.3762085494082	42.8108794203515	47.4563908605742
