"BM_22_135"	"BM_22_172"	"hB_RNA_9191"	"BM_22_167"	"hB_RNA_9186"	"BM_22_72"	"BM_22_2"	"BM_22_6"	"hB_RNA_9211"	"BM_22_134"	"BM_22_123"	"hB_RNA_9152"	"BM_22_63"	"hB_RNA_9210"	"hB_RNA_9223"	"hB_RNA_9160"	"BM_22_163"	"BM_22_211"	"hB_RNA_9205"	"hB_RNA_9171"	"BM_22_64"	"hB_RNA_9218"	"BM_22_160"	"BM_22_18"	"hB_RNA_9179"	"hB_RNA_9224"	"hB_RNA_9222"	"BM_22_41"	"BM_22_37"	"hB_RNA_9177"	"hB_RNA_9148"	"BM_22_92"
"ENSG00000164031"	3434.38474422055	1294.60957301296	1864.33571518273	1524.64740235555	1780.54578096295	6466.37032168672	4730.01275979957	3745.98437681063	2352.13669328612	2674.34359350835	4006.92991958879	1631.60435071958	2993.09190135484	2725.8278812305	2217.40417370444	1543.45970997377	2955.26086668139	2646.74283703484	2628.706252574	1683.71613220564	3419.54131235635	1666.50168607728	4177.06826741528	3903.08380506654	2213.53511231005	2779.34356428996	1605.07011516608	2965.2975288259	2562.98342000595	2148.35378808312	1956.92394300187	1827.08539982631
"ENSG00000196505"	1697.83876955575	1190.92452487495	1067.20151920507	1322.90633278711	1061.98724621232	1828.26091481152	1644.32768719686	1313.37866869885	1244.95413904494	1391.63596967108	1615.62022361979	1065.44405383878	1635.11502018459	1203.41596975013	1230.98540525504	1048.38772752935	1638.10899078956	1600.63373703419	1162.98627840988	1025.52704047671	1558.23106835808	1089.30508146687	2088.93508094007	1505.31647700147	1174.48758013894	1259.42956780382	1225.88260446653	1321.71460291778	1373.65378503743	1186.66145558742	1141.34643192789	1211.39129907839
"ENSG00000226851"	590.284877912907	632.76949938433	383.321362000188	743.437303175625	581.187050165947	701.381079428639	550.791655961537	389.934784868354	538.561649687449	668.840403858008	567.624434648616	546.005723205429	394.152019931501	538.211162350559	517.666047905264	438.836625412192	657.699005937994	531.735953319832	635.552727732483	606.862419438134	586.761284039402	598.073928606953	630.289049373855	596.201605897262	501.330326806294	662.591459366669	414.515539646705	604.929826896738	568.332796045839	440.817876328376	515.223186882429	723.045892673199
"ENSG00000286387"	90.6100483234417	317.83827840438	30.4914719772877	156.242019835986	21.134074551489	21.6208717456424	25.9301266605269	35.0778153751866	73.8956682129291	40.7208769472151	34.5177021070104	67.7926569080566	160.124258097172	30.2365821545258	28.5327742939909	9.03782523732202	66.6468326017167	34.7256132780298	57.3501721770436	77.4932111056987	62.2322573981184	44.2108037573928	17.6416782267491	65.7303012712819	50.5373313312796	51.8439882328882	74.1888607890409	89.0274084866898	139.706002631603	64.8559634138301	56.9903076671147	174.709779015649
"ENSG00000131149"	2741.17388908587	2925.46878811836	4024.87430100197	3088.78454598834	3345.5240015007	1147.6358722587	1304.5536137141	2002.69852897868	2739.14959968942	2374.02712602264	2419.11562266631	5663.43520277846	3141.92534638105	2045.50478275367	2917.47617156057	4098.15164372346	2165.14512754788	2654.3390649394	2748.10743071309	3728.73178112486	1921.11786799127	2695.63095131881	941.424101736522	2475.53275492124	2749.23082442161	2965.22322941763	2450.58760796816	2754.52323693861	2714.39254327685	3326.90824824382	3169.12318986726	4571.92337375891
"ENSG00000224789"	343.086590739245	376.948446034463	337.584154034256	376.869487406581	414.227861209184	369.284489415572	333.515077392295	293.674733373655	324.389458765231	398.046572159027	247.376865100241	352.705039318943	534.773964542479	320.507770837974	390.287591235661	311.302869285536	376.203831396532	273.464204564485	297.092695212226	355.261084679372	332.982987636686	440.879959691778	344.012725421608	318.467938553817	271.890842562284	324.973292093958	355.635491401434	379.698092605626	307.938361821491	273.611095652096	345.792542466683	447.299133021993
"ENSG00000183486"	82.6926654602283	217.060287690796	89.2964536477711	79.8379551909158	83.4795944783815	76.9703034144869	101.038079746191	115.022603904682	90.1777645988287	91.6219731312339	50.8177281019876	119.095208081721	107.77594295002	71.0559680631357	110.054986562536	100.420280414689	64.892968585882	56.4291215767985	71.4526735320543	108.691776615785	54.1501460477134	74.9127508111378	95.4254413174158	70.359195727006	72.7737571170426	92.3075888048985	215.50097657769	85.222818380421	80.4589543951638	64.8559634138301	90.876436550264	178.919653208797
"ENSG00000196357"	1136.58429547463	964.174045769385	1173.92167112558	964.06477074622	959.486984637599	890.779915920466	852.117610602833	739.89717547196	1074.61836146938	1334.62674194497	1113.19589295109	1219.35170735977	816.017853764436	966.0587998371	1138.25388879957	1110.64830138646	992.687032962412	1139.43418568535	1122.55910785885	1375.75609846091	946.415239132424	1323.86795695749	1047.27417109702	1136.85647832583	964.252281800814	859.851512155219	1488.48761964044	1178.66201492207	1017.44005057884	1068.09664747151	1113.62141738713	1075.62285634936
"ENSG00000128617"	35.1883682809482	34.8846890931637	21.7796228409198	26.6126517303053	16.9072596411912	50.1604224498903	51.8602533210538	40.7881574130077	22.5444411497072	31.5586796340917	42.188302575235	21.9868076458562	33.8724392128634	18.1419492927155	28.5327742939909	18.075650474644	30.6926202771064	52.0884199170448	34.7861700090264	24.1537281368412	26.6709674563365	14.7369345857976	65.7553461178831	30.5507034077789	26.2794122922654	30.3477004290077	12.9536106139595	27.3930487651353	36.5722519978018	22.2942374235041	32.3458502975516	31.5740564486113
"ENSG00000110697"	654.503650025637	603.698925140027	1043.24393408006	814.690532001926	817.888685142623	410.796563167205	644.676597318618	590.612519340352	1033.28688602825	603.687000742464	538.859682892774	1244.08686596136	1241.98943780499	1177.71487491878	1037.37015111724	913.824551773671	556.851825027501	619.635161929845	1039.82443324279	1302.28850871135	640.911430087116	713.513249529034	486.749940165306	598.053163679551	1286.68045569438	1277.13239305408	564.070862189692	569.927597919065	748.99972091498	1188.6882044441	1211.42910757259	611.484226554772
