"hB_RNA_12282_resequenced"	"BM_36_369"	"BM_36_322"	"BM_36_416"	"BM_36_472"	"hB_RNA_12352"	"hB_RNA_11042"	"hB_RNA_12262_resequenced"	"BM_36_448"	"BM_36_350"	"BM_36_412"	"BM_36_487"	"BM_36_510"	"BM_36_286"	"BM_36_521"	"BM_36_458"	"hB_RNA_10952"	"BM_36_419"	"BM_36_341"	"BM_36_400"	"BM_36_528"	"BM_36_450"	"BM_36_344"	"BM_36_367"	"hB_RNA_10972"	"BM_36_351"	"BM_36_430"	"hB_RNA_12382"	"BM_36_428"	"BM_36_417"	"BM_36_358"	"BM_36_531"	"BM_36_527"	"hB_RNA_11072"	"BM_36_354"	"BM_36_370"	"BM_36_482"	"BM_36_435"	"BM_36_538"	"hB_RNA_10842"	"BM_36_413"	"BM_36_499"	"BM_36_467"	"BM_36_414"
"ENSG00000224853"	30.6918264061016	60.2583645970105	45.055443335124	33.3181056954225	50.0803640393547	50.2934291308511	27.6351779924812	36.0294110340988	44.419456435954	52.4607931047544	49.2261315418261	45.353874539754	51.8555159744782	44.2969079515541	42.4497769519727	54.3942267602945	31.0121142116514	62.6777730468528	31.8538063662199	28.6563388317524	39.4907373908791	41.3057944806007	46.1630201523381	45.3644809887799	12.9749988911314	35.4874636272737	40.2497969464756	48.1591149013359	37.5739728970985	41.638586016242	30.1280997761275	34.9733896007843	25.4463981453702	11.7580505136426	40.7488242287617	27.8945523216009	50.4783530174418	59.2360988617116	63.2354487105229	55.2314384425826	41.5819044407435	41.7241061275509	51.0470740343331	44.8822367368817
"ENSG00000143294"	786.29536221346	569.984858565165	646.095057425678	552.128608667001	799.043420269704	707.251347152594	887.089213558645	720.588220681977	664.835470918459	622.467487416029	524.447632195609	705.354287618263	656.29637405199	657.85620745074	598.628487220676	744.423846233744	670.636969826962	513.583543324212	567.576913434464	627.475005453888	664.760746079799	666.453107100461	546.262405136	593.51862626987	812.018680603308	604.554291078913	636.751787693244	759.671199572686	621.345210347141	476.422891162583	531.672348990486	767.893989060699	684.667150098866	802.754175976871	546.404688522032	552.312135967698	727.262197177217	676.859541405145	579.103582927947	696.396397754302	496.794332002567	686.617746449872	816.753184549329	593.321275887558
"ENSG00000235837"	135.920945512736	162.006094982127	237.892740809455	298.673018912537	238.442330276927	138.306930109841	146.46644336015	101.159500211124	246.127479923811	229.01153913037	320.916511397674	145.538552627569	299.789701727452	271.436372128672	238.238544118214	238.557537363006	178.319656716996	387.292508080553	274.135788121408	276.681892168644	210.617266084689	251.012135689804	256.461223068545	223.042031528168	184.893734198623	220.529238255201	242.303777617783	214.385737302721	263.017810279689	315.678582355695	202.921613198035	203.758008978483	150.292789046093	191.335549267457	253.754041788198	209.209142412007	279.500510226205	245.655586455922	279.567246930733	312.177695545032	323.901150380528	218.86855670417	203.402956536804	305.418147550976
"ENSG00000267080"	96.4600258477479	59.2705225544366	54.9676408688513	28.5583763103621	76.9892163590079	94.3001796203459	70.4697038808269	113.631219415235	63.3523395070164	49.4342088871725	22.7197530193044	82.5846670723878	76.9730315246161	64.0891434192698	43.3160989305844	62.9418909654836	71.7155141144439	21.5162504489196	42.4717418216266	49.4074807444006	64.9951719558219	57.1926385116009	32.0576528835681	42.5292009269811	64.8749944556571	31.6852353814944	44.2747766411231	68.3548727631865	34.8246578070669	30.0185155000815	49.6227525724454	63.1041594970674	111.327991885995	44.8943746884535	41.6749338703245	59.508378286082	54.217490277993	59.2360988617116	52.4188587995124	38.421870220927	31.7335586521463	76.86019549812	76.1779412512355	31.7459723260871
"ENSG00000122641"	81.844870416271	134.346517790056	64.8798384025785	99.9543170862674	74.7468119990368	78.5834830169549	38.6892491894736	52.6583699729137	89.5671006823335	72.6380212219677	94.6656375804348	84.6154375741678	77.7832739617174	56.5492441934733	93.5627736900623	62.9418909654836	54.27119987039	58.0003272970877	94.5961522390774	63.2415753528328	60.058829781962	137.421200868152	100.019876996732	78.4427483764319	105.96249094424	67.1726990087682	92.5745329768938	54.3731942434438	78.8136992475724	77.4671367744038	72.6618876953664	77.5496899843478	68.3871950156823	87.6509220107902	60.1971267015798	65.0872887504022	82.2610197321273	99.3075775034576	456.792912395751	124.871078218013	56.9015534452279	82.7162103932148	92.6700728623277	63.4919446521742
"ENSG00000171303"	217.765815929007	259.802457196947	200.046168407951	205.85829590386	244.42207523685	161.881975014927	251.480119731578	138.574657823457	198.067084435729	190.674805707665	132.531892612609	169.230875148336	260.898064746594	209.232203515851	200.1203770593	259.538167684834	351.793670588421	245.098157287693	216.219776546463	192.689174903162	251.753450866854	218.444105426254	251.331998607174	206.030351157375	366.543718674462	210.389962933123	186.759057831647	215.939257138248	156.710960131801	223.686357436091	273.8112597301	209.840337604706	262.41598087413	343.121292261752	184.295818670991	149.700764125925	255.196118032622	182.063892089672	130.631124309896	139.27927955086	167.421878406151	231.312588356247	245.025955364799	206.896164470016
"ENSG00000242021"	68.6912305279417	52.355628256419	27.9343748677769	64.2563466983147	49.3328959193643	29.8617235464429	29.0169368921052	48.50113023821	106.315420322119	52.4607931047544	46.3861624144131	52.1231095456874	113.433941194171	127.235799435315	110.889213262296	97.90960816853	67.8389998379875	67.3552187966179	102.318287115737	41.5022838252965	71.5769615209684	75.4625091472512	80.7852852665916	33.078267387652	22.70624805948	93.7882967292235	51.5197400914887	102.53230914478	53.1534250739442	46.4802820646422	78.8647317669221	53.2203754794544	106.556792233738	22.4471873442268	42.6010435118873	68.8065623932823	117.782823707364	92.3386246961974	28.2895428441813	45.6259708873508	186.024309340168	72.4681843267988	33.7696028227126	49.2609915404799
"ENSG00000138735"	2377.8857887013	3533.51098628699	4715.50269945408	4118.35585042347	3539.26154815439	2745.7068966124	1659.49243844849	1953.90267531074	2848.67071438446	3348.41100605154	4939.65296894709	3255.32511435338	2220.87452009445	3067.79649749593	3207.12396482047	3268.31596791141	2357.88980865462	4237.76584928721	3927.67085164088	3892.32133304388	2681.25652410156	3062.1891869753	3100.61618689871	3520.47274340011	1261.81864216253	3783.21710455043	3752.08607135045	2656.51891875111	4376.9096233303	3038.64843997599	2476.70702571401	2602.47636094532	2888.16618949952	1217.49268500354	3450.68452446287	4784.84554156528	3548.44126026313	4927.92075383386	2854.747691129	3856.59522342555	4401.11630685974	3256.67628353463	2953.66223758656	5134.09000721891
"ENSG00000273088"	216.304300385859	168.920989280144	182.925099940603	109.473775856388	183.877157517631	176.027001957979	254.243637530827	213.404973048124	206.805338160835	179.577330243198	116.438734223935	185.477039162576	179.06357859937	183.785043628788	152.472668235657	181.832129455841	245.189527985869	130.968480993424	138.998427779869	147.234292618314	185.112831519746	149.336333891402	152.594427725784	156.885496752864	341.674970799794	181.239546382148	163.414175602691	203.511098454032	153.045206678426	134.599150145527	191.402045636575	214.402084074373	194.028785858448	258.677111300137	148.177542650043	145.051672072325	187.8916473427	141.121294347019	188.874300753799	93.6533086635095	107.237543031391	152.256387272466	221.465767348953	121.510445799851
"ENSG00000123200"	3479.86850823466	3309.27084262271	2889.85613551485	3485.31184221044	2986.13513936152	4381.8150130254	4532.16919076691	4087.95240579198	3629.28804716057	2978.15887010067	3673.02673812087	3167.32505927625	3257.17459714691	3044.23431241531	3715.65496626553	3125.33685757006	2943.24346439954	4060.02291079614	3465.3080259009	3572.16085782017	3717.0656569165	3714.34413444786	3401.95812400425	3445.8103684394	3664.35593683703	2955.5987563858	3846.27059620521	3635.2364151331	4756.31510575466	3324.3085068316	2959.64274271371	3650.91775789057	3105.2557736772	3471.83164257374	3120.06338242496	3872.69368064893	3194.1580048259	3508.8677384555	3303.22014974705	5657.6203900315	3866.02285234596	3419.18069687351	2855.49478752054	3649.69212879911
