"Node.1" "Node.2" "CN"
"ENSG00000135424" "ENSG00000070961" -0.53
"ENSG00000182220" "ENSG00000180964" 0.54
"ENSG00000167978" "ENSG00000088888" 0.54
"ENSG00000135070" "ENSG00000125249" 0.54
"ENSG00000287451" "ENSG00000283228" 0.53
"ENSG00000138078" "ENSG00000069329" 0.55
"ENSG00000144635" "ENSG00000131437" 0.54
"ENSG00000254433" "ENSG00000214265" 0.56
"ENSG00000148925" "ENSG00000100519" 0.53
"ENSG00000198836" "ENSG00000198825" 0.54
"ENSG00000122644" "ENSG00000259623" 0.53
"ENSG00000143155" "ENSG00000102468" 0.53
"ENSG00000163938" "ENSG00000154582" 0.52
"ENSG00000087470" "ENSG00000132819" -0.53
"ENSG00000119801" "ENSG00000261340" 0.53
"ENSG00000114405" "ENSG00000285329" -0.53
"ENSG00000116750" "ENSG00000154265" 0.54
"ENSG00000070087" "ENSG00000138686" 0.55
"ENSG00000158560" "ENSG00000078043" 0.54
"ENSG00000164933" "ENSG00000091157" 0.53
"ENSG00000057663" "ENSG00000111728" 0.53
"ENSG00000130147" "ENSG00000104093" -0.54
"ENSG00000108061" "ENSG00000103150" -0.52
"ENSG00000181061" "ENSG00000165169" 0.53
"ENSG00000110435" "ENSG00000093010" -0.52
"ENSG00000065548" "ENSG00000159792" -0.53
"ENSG00000149313" "ENSG00000061794" 0.55
"ENSG00000204186" "ENSG00000258302" 0.53
"ENSG00000037241" "ENSG00000069509" 0.51
"ENSG00000075945" "ENSG00000096654" 0.55
"ENSG00000163558" "ENSG00000172081" -0.53
"ENSG00000136531" "ENSG00000113327" 0.55
"ENSG00000077152" "ENSG00000111684" -0.52
"ENSG00000196776" "ENSG00000113595" 0.53
"ENSG00000282218" "ENSG00000177889" 0.52
"ENSG00000112146" "ENSG00000164933" 0.52
"ENSG00000164418" "ENSG00000136153" 0.51
"ENSG00000182220" "ENSG00000255467" 0.53
"ENSG00000187144" "ENSG00000120896" 0.53
"ENSG00000273398" "ENSG00000096654" 0.54
"ENSG00000162639" "ENSG00000147180" 0.54
"ENSG00000154174" "ENSG00000076555" -0.53
"ENSG00000143155" "ENSG00000174306" -0.53
"ENSG00000023734" "ENSG00000239672" 0.52
"ENSG00000273398" "ENSG00000119125" 0.54
"ENSG00000152382" "ENSG00000116750" 0.55
"ENSG00000138430" "ENSG00000153310" 0.54
"ENSG00000134709" "ENSG00000259668" 0.53
"ENSG00000109133" "ENSG00000104643" 0.55
"ENSG00000117152" "ENSG00000116903" 0.53
"ENSG00000189369" "ENSG00000123562" 0.52
"ENSG00000096092" "ENSG00000119965" 0.52
"ENSG00000113161" "ENSG00000166503" 0.52
"ENSG00000140497" "ENSG00000186866" 0.54
"ENSG00000276012" "ENSG00000165943" 0.55
"ENSG00000228436" "ENSG00000113387" -0.53
"ENSG00000123562" "ENSG00000165678" 0.54
"ENSG00000069509" "ENSG00000164919" 0.53
"ENSG00000113595" "ENSG00000123119" 0.54
"ENSG00000123562" "ENSG00000135018" 0.54
"ENSG00000057663" "ENSG00000205517" -0.52
"ENSG00000157680" "ENSG00000158805" -0.51
"ENSG00000239605" "ENSG00000163138" -0.53
"ENSG00000288698" "ENSG00000135002" 0.53
"ENSG00000186310" "ENSG00000108666" 0.54
"ENSG00000227028" "ENSG00000106993" 0.52
"ENSG00000085415" "ENSG00000125863" 0.53
"ENSG00000113163" "ENSG00000139163" 0.53
"ENSG00000134108" "ENSG00000101558" 0.53
"ENSG00000238178" "ENSG00000254433" 0.52
"ENSG00000166260" "ENSG00000141378" 0.53
"ENSG00000008277" "ENSG00000100483" 0.52
"ENSG00000196262" "ENSG00000180964" 0.52
"ENSG00000135018" "ENSG00000100744" 0.53
"ENSG00000198015" "ENSG00000214265" 0.53
"ENSG00000124570" "ENSG00000088888" 0.53
