sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32
ENSG00000108963	657.428599405556	475.121008257848	324.651393981604	423.621316795544	381.244255155717	678.426147238698	488.535595774331	440.851079675818	413.498937810765	435.227419725745	404.536580614792	318.123359375635	395.248003462092	404.979476817609	330.08913345616	383.913961011689	374.589351141505	648.618229567761	309.543256696333	358.823390255552	394.941112269322	356.224804809208	365.209120308753	305.975104086129	510.160103855995	603.959429770577	453.052118663807	361.023434864591	657.692727080865	586.809421787752	643.178537443412	420.244199980275
ENSG00000185433	201.342979844578	241.857464151928	329.646030812091	219.745928020743	260.168574879422	233.242270400746	137.335113833557	142.521718908895	293.700180127273	197.762545279857	181.263506313936	267.096053611122	254.894630804125	311.165423701603	134.450939724826	180.04897923377	262.289463530294	230.378121172695	322.680371038883	311.082939191509	298.439664022519	272.796690671736	144.660755446974	287.300567217022	122.39728298158	136.584464683099	142.798740349817	172.062232786529	74.5607660142435	154.300485410325	125.242051889107	346.487054677615
ENSG00000124104	469.216683463885	440.745328073817	372.932883342971	577.443466410065	399.98215805562	465.419507603314	371.119315244878	402.201122005609	422.516048604147	447.213028530585	430.209094384577	428.948289082937	400.087774933057	486.71845378997	466.955359523348	461.077809254733	486.120061440311	358.915270324843	361.270644420123	383.4636230628	515.567922577825	394.628222428045	557.299631639981	474.045935908087	398.048306839254	458.838436044785	519.828508036024	402.502723125629	523.038209353649	464.070399302266	515.512445840322	375.646856308899
ENSG00000249290	83.1634047184125	73.6621718229221	59.9356419658346	51.2740498715068	43.9620029574646	53.251659908846	133.141675243219	53.1436917965369	77.2895210861244	67.4190495272239	58.3466222040566	59.0003222902181	70.9833149074778	76.165864906064	78.8993538504967	93.3587299730658	78.4560858653666	87.0097625029923	54.1905966630185	83.1607857244627	94.7143843903803	58.2672543182348	62.8444265466361	66.7973818779577	146.053900700708	147.255125986466	53.4211114977732	43.0155581966322	146.895837520599	81.826014990324	104.233707701256	72.899504078211
ENSG00000115252	8255.06217362769	12522.5692098968	18535.0972779344	9084.05250223529	13113.6492756398	8340.27497492346	10184.8139762825	6494.40069977225	15472.0739627573	6550.13521184495	10260.448003324	18435.2088107354	15321.1032199163	10411.5021918545	13112.5895526841	13165.4862064058	15166.6382460127	12373.183726846	12836.6028519641	17285.1233142846	14519.0003015027	14476.7641865214	12680.3452356552	8629.7907877813	7552.63234398099	11661.9657384499	5675.9930966384	11913.0052155637	6722.7102610753	5801.46446281397	8951.17065050014	15515.5873915167
ENSG00000153707	189840.167865631	172389.125311457	120227.568025577	217185.887959302	101310.075471191	210160.870929855	158292.871548416	214428.757343141	135427.987005792	113623.571469881	102060.689514298	110883.930029592	142478.032333721	142718.111497765	108563.900707389	234263.727425271	142910.067935702	210431.133118884	112013.605441752	123777.129478111	128768.673238363	135775.945119287	109547.321421964	97901.9777877086	242751.868450542	176966.515319561	201068.84504508	116909.373963736	373162.166886988	198769.417728353	161364.283693639	111332.122628244
ENSG00000259072	351.03710833772	665.41495213373	742.536008798951	747.136155270528	398.540780909474	475.004806386906	410.956981853086	475.877603814444	564.213503928708	898.920660362985	515.006185321139	573.2598881982	1047.0038948853	614.90003131481	1065.94637242916	517.283575258926	696.105467727027	634.775767351376	615.802234807029	729.966896914728	490.549028587913	444.94994206652	570.34281450815	576.755888688172	253.02295473503	484.448023172866	606.124149686273	593.000195139286	268.196188200488	464.070399302266	538.944829742155	340.483566106468
ENSG00000127603	24126.1414109416	25683.5439089255	21881.5039543601	30588.6331804875	20187.2076203531	26240.287936683	25624.006506258	22801.0594030687	27241.9798654893	27040.2825642689	19317.399679319	19335.3623764875	21533.7565314776	23122.8419630678	24336.425185641	20986.6614419045	20845.4743435029	22683.8405834506	20616.2377516929	19176.2611822409	19466.4865880078	21680.7156295032	22396.3307285446	28579.2239239133	19689.5057824906	18971.3687312563	29218.2660020801	22470.2522129657	21554.73846164	27824.351925924	24111.115021748	19868.9742468225
ENSG00000131844	729.211748741449	750.12644973009	1030.56006602366	555.46887360799	949.867539310464	959.594911557405	777.882858507626	823.727222846322	1058.8664388799	939.372090079319	898.537981942471	755.841966636847	817.921378592983	776.520281237433	972.555300524489	672.56391184678	816.866305774699	818.682765369064	1011.55780437635	900.908512015013	646.917116024862	990.543323409991	917.765776360308	881.294489938215	689.127559644187	794.964267100848	666.7365646549	864.151838771628	560.875015987742	799.557060762595	571.265359261925	819.905010573761
ENSG00000164056	84.9142132388002	121.542583507822	94.8980997792382	181.900795972727	90.8067602072219	106.503319817692	138.383473481141	142.521718908895	77.2895210861244	65.1717478763164	76.2395863466339	97.2708016136027	132.287086873027	123.537317469592	82.1197356403129	114.316812211917	117.68412879805	100.852224719377	81.2858949945278	103.180974880352	117.94621452387	97.9949277170312	79.4448411061249	98.4004442718301	157.367935262031	97.1030178606405	139.716753148022	93.7124660712344	117.961808918057	112.218534843873	73.5292046574754	125.215618769633
ENSG00000109118	766.854131929783	849.570381691035	627.659361697768	960.77802973514	486.464786824403	830.725894577998	744.335349784925	824.935034023516	532.00953680949	536.355994016581	515.006185321139	417.786065946949	521.082061707166	603.753807182215	616.703112749801	395.34564223288	497.657721126394	731.673002866071	422.029798254417	341.883230200569	359.199835140876	500.568684824835	547.81368046313	537.252060695831	672.670782100445	651.977405635729	787.961394592154	443.213876418871	515.248278576041	822.935922188402	744.988205430685	469.129749773899
ENSG00000279047	60.4028939533733	67.5236575043453	71.5897945703025	68.3653998286758	57.6550858458552	44.7313943234307	67.0950174454017	73.6764818088353	61.8316168688995	53.1861390714766	45.1213878378037	70.1625454262053	62.9170291225371	70.5927528397667	66.8229221386859	57.1584061059586	67.6876034916888	46.4711231550072	53.3695270166091	64.6806111190266	58.0795753337238	62.2400216581144	48.61549978136	79.7259074027237	63.7700129819994	71.4934307325595	59.5850859013624	74.5090918763093	57.8680572050845	58.4471535645172	63.0250325635504	48.8855497936239
ENSG00000119048	1006.71489922289	1018.99337688376	1220.35626558213	1197.61530771305	1223.72919707828	970.245243539174	1255.93485780611	1184.86276482733	1384.7705861264	889.182353209053	1118.69923639244	1340.26407797103	1113.14743832181	989.227391767783	860.647033328377	1484.21327855139	819.943015024322	944.2536726177	1075.60123679628	1261.27191682102	1296.51482783436	1324.25577995988	1025.66847099699	1208.09888514758	1159.17426823731	976.365509258089	1092.05079850256	1033.14153168697	1334.30385747878	1295.1889229897	888.814561793659	1390.23642483271
ENSG00000130812	94.5436601009321	92.0777147786526	68.2600366833117	97.6648568981082	64.8619715765871	76.6823902687383	91.207289339843	89.3780271123576	57.9671408145933	89.8920660362985	79.3514061975169	79.7301652570514	87.1158864773591	91.9563490939066	91.7808810097614	106.695691397789	88.4553909266388	83.0547732983108	69.7909199447966	81.6207711740097	102.756171744281	74.1583236777533	75.8876094148059	61.7696219516598	102.854859648386	80.0299597752531	73.9676928430706	75.2772268441063	135.76736498116	67.7986981348399	105.849734177245	61.750168160367
ENSG00000256209	60.4028939533733	89.6223090512219	83.2439471747703	35.4035106255642	95.8515802187343	54.3166931070229	50.3212630840513	45.8968247333728	46.3737126516746	54.6843401720816	129.918478774366	110.824929707301	91.9556579483235	134.683541602186	49.1108222946969	103.837771092492	56.1499438056055	126.559654549807	59.1170145414747	61.6005820181205	93.8208524621692	66.212788997994	72.3303777234868	57.4601134434044	34.9706522804513	80.0299597752531	49.3117952287137	83.7267114898733	90.1406275694586	38.5751213525813	75.9532443714581	99.4863820361468
