sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42
ENSG00000138433	1324.39744171155	1566.43888317929	1578.10611668159	1175.83425163241	1475.1498528889	1392.92654456919	1254.70819487656	1336.73039246564	1767.01820454268	1570.40866213183	1239.37810004274	1431.95011025982	1292.69128290724	1329.93484386341	1380.53824982193	1389.94311805442	1592.61760312411	1219.57693740728	1188.54950941252	1396.20041301014	1337.76289363652	1546.94711251914	1591.51201320971	1536.32339943291	1557.61575955133	1279.81301063101	1400.33281519813	1879.2580754579	1160.70570724327	1575.8234083432	1556.39783788788	1083.59972450355	1274.85090387062	1425.51290898935	1270.96100172965	1213.58980753746	1465.82482522281	1756.76355559491	1905.9400768957	1589.70889030736	1365.55971528046	1483.39576492623
ENSG00000283378	55.2197477351605	58.6320699290573	46.4756382530572	96.4940121897999	47.9723529394766	62.3867752046462	96.6192406749863	46.3119191090458	62.4357836067841	71.0981036089537	65.0620173000063	99.152745154867	79.8669136573263	98.0930203160123	277.588119937385	147.636445181947	94.1870625503504	71.0500138874149	75.3714323042087	64.380886215884	112.766171158358	63.1039031913401	56.1598138632613	47.7388626942431	46.3467933122041	57.6964881841849	53.1351582051464	48.6241599943652	64.5396744253424	31.657166685466	47.3973845815715	59.9438145470049	70.1631338578848	53.3541299909641	74.985184249842	71.3293601164872	45.4605278624321	39.9870308557264	47.1989877533133	45.8369535868439	55.0128020450866	58.8649113065964
ENSG00000161955	482.077162767274	294.910560687945	448.231711151707	540.167511536715	723.275475087493	586.435686923674	487.122005069723	372.600440104596	324.152903931112	284.392414435815	315.710772472162	323.975830099042	363.929647799363	371.720919092257	451.543341764814	561.738669472772	498.04977015261	517.354470053992	1147.96489201795	222.930829881867	626.742509174874	263.233424741019	214.168781681929	824.580355627835	801.526896105177	555.984340683964	463.825651832424	357.453284282901	507.241503686676	538.171833652923	520.268965639576	463.411797074922	778.413636008231	763.374475255333	233.287239888397	308.103208280938	401.383197224401	221.261570735019	510.198581904862	989.661497897766	692.983845116333	486.616600134531
ENSG00000137809	151.635180288615	111.13840120881	163.18112986629	180.055837178905	126.388699090544	163.339920535801	266.373878805344	122.095059469303	147.964254301009	117.975974120352	145.056300865588	210.98781817838	146.559903412413	294.279060948037	143.420528634316	138.634222914755	111.31198301405	202.113146301093	176.832975790644	132.605407429731	430.885475057726	285.77053302364	153.249661559069	256.053899905486	178.117088023373	76.0544616973346	170.475299241511	157.699978360103	115.969727483037	204.012851973003	243.600511454123	194.817397277766	181.365081859061	195.631809966868	143.910959671414	134.733235775587	126.402443324811	122.626894624228	122.867206214974	258.353738398575	123.335152972049	214.856926269077
ENSG00000119737	170.918266799306	185.522370521793	107.410363962621	288.487252938577	268.460667411302	238.204050781376	458.270426257053	135.778126478793	224.939877925811	206.262630250151	171.721062054115	382.775713853673	257.714886337558	127.004647356521	289.616938468005	333.982446112818	201.217815448476	270.40393634822	666.747285768	208.517198639505	481.927005160983	128.01077504529	205.602030414652	117.177208431324	110.868799688018	213.739263045958	153.870562302403	148.500812955764	148.239564695708	158.28583342733	102.51062246712	285.885884762639	301.833858860335	233.93733919115	157.544629535022	222.904250364022	170.754177824745	66.6450514262106	124.365586778571	131.260367089599	314.105353612269	277.646164996113
ENSG00000136305	475.065131308841	602.072598674499	536.019027851926	504.355300827099	707.592205857279	471.870881547869	533.41872455982	521.009089976766	531.987087718078	560.190552611207	531.162042875461	628.351698946541	506.372699992327	478.074404276986	449.692754298564	469.015780120696	553.705761659636	593.233125661911	521.802223644522	598.646150932772	532.96853526424	478.68817992288	503.534602265513	672.68397432797	548.891434521005	717.272250835208	617.696214134827	659.711576139766	581.865502240978	791.429167136651	540.109731278373	455.342437424364	495.113435148093	588.263484515758	552.163629476109	573.606937603418	510.044946749239	479.844370268717	641.306881219621	704.222286925148	519.072406393156	521.935546918488
ENSG00000117598	1027.26260866045	1375.66587952952	958.430939974157	760.014693948527	322.890837092631	730.492422396221	695.121759300596	1082.01483736589	1084.50100840277	1357.11435130497	445.834807072174	1083.76256332064	1071.20468730084	516.279054294802	1034.47839363332	953.335338095618	1147.36967106791	431.128725044993	585.578050978852	1315.48407805291	372.721870986573	471.476305272441	920.449830606334	364.551315119674	505.270923168343	481.241162808997	872.302180534486	892.319044220918	1373.48494636432	365.816148365385	923.697866961789	916.448703170555	714.869665721845	342.013653788231	1123.26291154056	882.700831441529	994.587646161015	1208.94123287146	972.448985774613	264.604232069508	967.160552082974	892.784488150046
ENSG00000230530	325.182958884834	136.516461327357	141.49249868153	304.40379103174	306.285022613581	263.158760863235	221.41909321351	172.617153042807	217.242315563331	129.695441748201	164.254928921327	209.83487928123	209.95941219194	560.679052964155	181.357571692425	242.159778987461	196.936585332551	247.640339665844	472.520902522539	158.549943665983	246.898564220405	225.371082826215	173.238747849382	290.773072774026	187.204694555177	284.548589453821	245.750106698802	147.18664646943	195.635888101819	372.851074295489	245.805040969545	366.579481268222	258.147379288444	310.548397639714	222.683274438925	291.261553808989	157.448657474765	146.619113137663	184.300809322461	312.524683546663	232.473453803431	237.421808936606
ENSG00000151914	14571.0013706239	14387.6098761736	11379.3018282708	34566.7416038265	41148.285733836	17489.8488523716	27849.8251576157	10637.0057844549	21073.35989435	16615.861202765	33937.8414503098	37694.1843034096	23993.0089069535	35345.4966151307	17208.6128486516	32985.0426092177	21874.2317389662	35620.2001661974	26066.9199722863	25664.9117901499	35053.6610576576	26674.0198789795	24413.337389236	15584.5687213661	13970.3775213434	41068.0980327383	12542.1113013398	19353.7298442437	14299.5716148649	36205.246299278	14282.044465661	14447.6120714925	17363.389880755	31002.8536885956	14147.2047618035	17766.9547823484	17936.9502251357	13688.8935629437	19363.5720233672	27981.3766668779	13324.6330372753	16884.4187264421
ENSG00000241345	56.9727555997688	50.7561202370944	64.033101593101	216.862831519344	424.3708144646	247.278490811143	271.741614398399	28.4186776350963	136.84555311076	93.7557410227961	546.094309141036	375.858080470775	144.913162924633	618.502307045172	37.9370430581093	50.4124446962744	129.863980183059	291.09811515038	72.4725310617392	84.5599699551909	320.493328555333	317.32248461931	237.965312979921	221.334727036945	97.2373898903106	224.2295336249	77.4887723825051	131.416648633419	126.054051611997	555.759148478181	102.51062246712	116.429332100913	76.7822974293834	108.076314597081	199.960491332912	162.472431376443	206.235565424692	175.942935765196	109.381781142599	206.266291140798	37.2667368692522	84.3730395394549
