sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42
ENSG00000269968	15458.4152569226	14725.0459467295	11258.614459051	7919.28617822762	12273.690969419	17732.6126301427	10940.0148899715	9864.17527086144	13644.1110465907	18818.144293584	17794.5538413649	11615.8800907339	14188.0647463592	11187.299475617	17622.9512782535	12343.9784386631	13486.9929118358	14971.4617938556	9896.45522489133	13200.0645315356	10696.7016910693	11774.4451253082	14106.4812749767	10686.0288183161	14067.9558917335	10977.0036517381	15213.0565700857	13494.175329355	16868.859553452	15815.0111928932	12725.5575402347	12718.4933524244	11431.0452480115	9105.98777437839	10898.054751082	13542.0430210051	9968.08228974466	15337.2559520447	15222.2046568405	11790.8709755195	9279.71743138569	14604.2335627084
ENSG00000134830	112.563853626008	145.590456135655	91.680791921067	108.747672879316	100.175996450932	235.491758532632	74.7410382449555	52.420942432652	97.3449463771741	88.8493870146437	117.559725725999	86.7271606276675	72.1877792147168	51.9874506462986	65.5128300306822	110.021896566267	71.7751161115492	106.309832173858	145.421540958781	54.3094902769981	87.6198467165204	84.0335088277909	64.9283451123203	57.8525245759954	230.465400056218	91.4875287274254	106.977842406069	62.7334216978672	170.411861550196	103.869187451125	63.9763769344702	147.12108769592	50.0849068848172	85.0021309436243	71.3456939514367	116.391365664846	95.8667686604192	72.0848626917346	84.8160705222073	168.064125945915	141.200301464795	99.2574264470178
ENSG00000213139	326.010406256457	240.836548934682	315.552493123673	448.145651946214	358.075902207587	369.464101726108	469.722875393479	410.329445938345	459.954871632148	360.853212173509	283.40291023232	615.985217791382	322.945328065838	342.917222532316	239.221091475673	364.347874860754	459.809337589612	192.876409801142	503.78176689292	271.547451384991	423.938450274881	355.641814146187	311.868936359178	209.159127313214	285.255287616753	368.949706015519	425.892919767558	389.379858814348	220.195102003063	359.832542241398	387.139101449615	291.748597634281	429.060702313268	415.326867648595	411.2869416024	458.175534680664	464.90228672956	237.880046882724	290.016241140451	350.785007061533	366.448401420538	341.09893374253
ENSG00000078674	5236.3430399042	3314.56402940613	6254.54890931279	5184.80840372997	6511.43976931059	5855.67316181671	5236.78267236006	6233.57310272415	4275.87676961737	4789.29371232444	5529.50567075504	8142.34611892832	5656.60905021987	4536.90482755583	3579.38280440364	5344.83184478446	3676.23172833841	4887.21485622108	6156.17856725506	5009.81227853432	5419.15476207328	4486.0388328693	4091.55014117638	5660.64702005125	5151.11911144521	5643.73066559512	3566.60089682121	4153.38516068638	5574.76556071232	5267.65164930707	6017.06027168299	5697.82517601994	4169.56849816104	6055.59484747744	7401.06654607992	4898.59850889428	6335.4533353434	2486.92776286484	4245.36352990188	5940.87142878585	5700.96217164108	4503.60878569525
ENSG00000125652	628.65850326978	656.517711079006	561.811364446539	468.316591270603	422.018027601799	617.437755587324	423.896253403872	417.559920756642	442.919506016142	618.828186751115	669.670580474889	573.733524152262	690.849711607509	491.881263807287	683.914240774849	467.991690466658	718.872647304735	622.671874161169	590.342207939813	501.171787468439	440.7543804528	580.731569934912	387.441272473518	335.989661960589	754.013214523552	551.92476347037	598.470382516972	497.540930707223	684.519556226912	677.004525351085	644.685029108892	558.561417692983	312.195919582027	528.304383459741	608.53680135049	732.526610890659	414.391838725683	624.7354766617	468.768389767899	705.478482168319	526.979696538251	726.312279239289
ENSG00000270299	809.185438330359	771.493351672117	620.444429047221	729.661805125734	909.043882687714	767.220499530341	845.064731689314	1245.44928745163	924.776990583154	1194.01106058276	735.797926195764	575.957297501689	691.482937740972	724.825033049356	796.080146736472	951.928583334224	740.180884900351	921.858116136169	529.749899206988	2254.32024553294	825.75067663145	688.774652713501	864.292069364002	668.641678272563	751.404172258765	632.163825550981	1144.46106875927	1011.30602219838	723.771726583979	721.519891401567	615.157470523752	635.862328177279	1139.43163162959	458.365921290936	824.672285968078	544.083447433289	822.598724634565	893.852297377509	1005.02483565024	490.512739679358	610.187017044291	731.826580708568
ENSG00000237440	382.292333069461	376.222066556156	325.146994603784	426.220717897965	355.94449802778	380.281744344215	325.150794116741	352.48564739197	449.003565164715	293.826481618602	436.650409839426	251.286388485293	561.671580381174	323.921807873091	451.641479756976	362.753354620663	228.783182605563	470.800685341371	416.355721435558	376.355239638847	360.214925390139	346.638223914638	440.661227483617	490.633910346423	361.787194050516	456.687745860673	383.505472776474	378.563751625061	452.836014119342	450.718081261133	456.856948108973	386.504552421484	382.314789220772	603.622727333839	258.103539883139	265.113666236594	366.973867130207	336.396025894761	393.072326828724	411.366261762967	384.098439103638	284.380404344234
ENSG00000183654	112.563853626008	130.623212981522	98.0771262411415	175.399472385994	165.183823935048	255.462791058367	228.041999900667	133.763784138491	265.264978877799	224.461609300153	132.254691441749	91.1747073265222	149.441367497133	187.954629259695	248.15465920713	180.180787130264	227.66169641632	197.432545465736	128.109452749402	135.297326654978	207.101455875412	151.560435564409	187.334241635547	193.583447619677	120.015944180219	113.984462021055	248.269332376349	216.322143785749	136.903911245382	137.255711988987	106.627294890784	134.65319890813	257.102522008729	171.080238228307	60.853680135049	142.256113590368	220.596650465911	252.297019421071	150.480125120045	60.5812547014346	30.2572074567417	143.371838201248
ENSG00000231663	145.483471195878	167.360991632576	117.266129201365	105.239683431596	110.833017349968	104.847920760112	83.4699186239284	113.879978388175	142.366984076617	161.331781684485	102.864760010249	97.8460273748044	108.914894955538	87.9787626321977	172.715642808162	141.115041248038	132.335370330669	107.828544062056	97.8132983829896	83.8462306030848	125.676951856019	141.056246960935	96.8603181183795	93.4540781612234	113.058498140786	124.483030891415	126.153116044893	131.956507709307	139.776021271509	136.328308529602	167.322831982461	142.133932180804	135.229248589007	105.445681423737	151.084998955984	123.781293643567	90.7126413130848	165.79518419099	150.480125120045	99.6659351539731	140.359823479885	184.335220544462
ENSG00000249637	278.223864622774	314.992435471067	335.807551803908	360.445915753217	166.249526024951	161.432512916362	219.313119521694	263.008521515547	158.185537862908	182.375057556374	337.984211462248	430.300143114196	216.56333764415	246.940390569918	254.110371028101	152.276682928674	279.250061121496	164.020883925381	403.371655278524	232.482730308553	214.181847529272	303.87117031478	224.588210142616	229.185001204905	182.632958535116	315.706963887263	158.448313752385	163.323218558241	317.846842891377	239.270092521342	375.656161999838	280.52749772527	233.72956546248	333.552665728146	260.201942646416	281.741004188715	260.798843775119	237.880046882724	155.952129669865	335.151134880517	360.565055526172	282.804889638725
