Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000205269	ENSG00000132294	g	g.AD	0.53
ENSG00000166006	ENSG00000132294	g	g.AD	0.53
ENSG00000104643	ENSG00000162882	g	g.AD	-0.52
ENSG00000085365	ENSG00000049130	g	g.AD	0.53
ENSG00000178662	ENSG00000049130	g	g.AD	0.54
ENSG00000149313	ENSG00000049130	g	g.AD	0.53
ENSG00000106299	ENSG00000049130	g	g.AD	0.52
ENSG00000075790	ENSG00000056487	g	g.AD	-0.52
ENSG00000102471	ENSG00000056487	a	a	-0.51
ENSG00000149313	ENSG00000056487	a	a	-0.52
ENSG00000104643	ENSG00000056487	g	g.AD	-0.53
ENSG00000083720	ENSG00000124440	g	g.AD	-0.53
ENSG00000165832	ENSG00000124440	g	g.AD	-0.53
ENSG00000106299	ENSG00000124440	g	g.AD	-0.53
ENSG00000109738	ENSG00000116106	a	a	0.54
ENSG00000163376	ENSG00000116106	g	g.AD	0.52
ENSG00000106299	ENSG00000116106	g	g.AD	0.53
ENSG00000178662	ENSG00000147036	g	g.AD	0.54
ENSG00000075790	ENSG00000133703	a	a	0.55
ENSG00000085365	ENSG00000133703	a	a	0.56
ENSG00000106524	ENSG00000133703	g	g.AD	0.53
ENSG00000014824	ENSG00000133703	g	g.AD	0.55
ENSG00000186106	ENSG00000133703	g	g.AD	0.55
ENSG00000164031	ENSG00000133703	a	a	0.55
ENSG00000106479	ENSG00000133703	g	g.AD	-0.53
ENSG00000165832	ENSG00000133703	a	a	0.56
ENSG00000004897	ENSG00000133703	a	a	0.55
ENSG00000152932	ENSG00000133703	g	g.AD	0.54
ENSG00000109738	ENSG00000133703	g	g.AD	0.54
ENSG00000108839	ENSG00000133703	g	g.AD	-0.54
ENSG00000134108	ENSG00000133703	g	g.AD	0.54
ENSG00000260412	ENSG00000133703	g	g.AD	0.53
ENSG00000205269	ENSG00000133703	g	g.AD	0.54
ENSG00000117906	ENSG00000133703	g	g.AD	0.53
ENSG00000132294	ENSG00000133703	a	a	0.54
ENSG00000056487	ENSG00000133703	g	g.AD	-0.51
ENSG00000124440	ENSG00000133703	g	g.AD	-0.53
ENSG00000186106	ENSG00000100442	g	g.AD	0.52
ENSG00000178662	ENSG00000100442	g	g.AD	0.54
ENSG00000149313	ENSG00000100442	g	g.AD	0.54
ENSG00000165832	ENSG00000100442	g	g.AD	0.52
ENSG00000085365	ENSG00000123119	g	g.AD	0.55
ENSG00000136531	ENSG00000123119	a	a	0.55
ENSG00000186106	ENSG00000123119	a	a	0.55
ENSG00000164031	ENSG00000123119	g	g.AD	0.55
ENSG00000178662	ENSG00000123119	g	g.AD	0.56
ENSG00000149313	ENSG00000123119	g	g.AD	0.55
ENSG00000174132	ENSG00000123119	g	g.AD	0.53
ENSG00000108590	ENSG00000123119	g	g.AD	0.54
ENSG00000109738	ENSG00000123119	g	g.AD	0.55
ENSG00000163376	ENSG00000123119	g	g.AD	0.54
ENSG00000145864	ENSG00000123119	a	a	0.55
ENSG00000102468	ENSG00000123119	g	g.AD	0.53
ENSG00000103150	ENSG00000123119	g	g.AD	-0.53
ENSG00000117906	ENSG00000123119	g	g.AD	0.52
ENSG00000095319	ENSG00000123119	g	g.AD	-0.54
ENSG00000149313	ENSG00000112365	g	g.AD	0.51
ENSG00000152932	ENSG00000114686	g	g.AD	0.53
ENSG00000134108	ENSG00000114686	a	a	0.54
ENSG00000145864	ENSG00000114686	g	g.AD	0.53
ENSG00000104643	ENSG00000114686	g	g.AD	0.56
ENSG00000123119	ENSG00000114686	a	a	0.54
ENSG00000110675	ENSG00000163719	g	g.AD	-0.53
ENSG00000165832	ENSG00000163719	g	g.AD	-0.53
ENSG00000109738	ENSG00000163719	g	g.AD	-0.52
ENSG00000166006	ENSG00000163719	g	g.AD	-0.51
ENSG00000156642	ENSG00000163719	g	g.AD	-0.54
ENSG00000186106	ENSG00000113966	a	a	0.55
ENSG00000165832	ENSG00000113966	a	a	0.55
ENSG00000163376	ENSG00000113966	g	g.AD	0.54
ENSG00000145864	ENSG00000113966	g	g.AD	0.54
ENSG00000104643	ENSG00000113966	g	g.AD	0.55
ENSG00000166006	ENSG00000113966	g	g.AD	0.53
ENSG00000106299	ENSG00000113966	a	a	0.54
ENSG00000049130	ENSG00000113966	a	a	0.52
ENSG00000116106	ENSG00000113966	g	g.AD	0.52
ENSG00000133703	ENSG00000113966	a	a	0.55
ENSG00000149313	ENSG00000221823	g	g.AD	0.54
ENSG00000004897	ENSG00000221823	g	g.AD	0.54
ENSG00000104643	ENSG00000221823	g	g.AD	0.55
ENSG00000260412	ENSG00000221823	g	g.AD	0.54
ENSG00000116106	ENSG00000221823	g	g.AD	0.54
ENSG00000102471	ENSG00000008869	a	a	0.52
ENSG00000186106	ENSG00000008869	g	g.AD	0.53
ENSG00000083720	ENSG00000008869	g	g.AD	0.53
ENSG00000165832	ENSG00000008869	a	a	0.54
ENSG00000133703	ENSG00000008869	a	a	0.54
ENSG00000075790	ENSG00000137494	g	g.AD	0.53
ENSG00000102471	ENSG00000137494	g	g.AD	0.53
ENSG00000110675	ENSG00000137494	g	g.AD	0.54
ENSG00000085365	ENSG00000137494	g	g.AD	0.53
ENSG00000087470	ENSG00000137494	g	g.AD	0.53
ENSG00000178662	ENSG00000137494	g	g.AD	0.56
ENSG00000152932	ENSG00000137494	g	g.AD	0.53
ENSG00000133703	ENSG00000137494	g	g.AD	0.54
ENSG00000123119	ENSG00000137494	g	g.AD	0.54
ENSG00000075790	ENSG00000132640	g	g.AD	0.53
ENSG00000102471	ENSG00000132640	g	g.AD	0.53
ENSG00000087470	ENSG00000132640	g	g.AD	0.54
ENSG00000133703	ENSG00000132640	g	g.AD	0.53
ENSG00000102471	ENSG00000078246	g	g.AD	-0.52
ENSG00000136531	ENSG00000078246	a	a	-0.54
ENSG00000109738	ENSG00000078246	g	g.AD	-0.53
ENSG00000156642	ENSG00000078246	g	g.AD	-0.54
ENSG00000075790	ENSG00000163412	g	g.AD	0.55
ENSG00000110675	ENSG00000163412	g	g.AD	0.54
ENSG00000074964	ENSG00000163412	g	g.AD	-0.51
ENSG00000186106	ENSG00000163412	g	g.AD	0.54
