"BM_10_650"	"BM_10_623"	"hB_RNA_13599"	"hB_RNA_12464"	"BM_10_593"	"BM_10_811"	"hB_RNA_12545"	"hB_RNA_13655"	"BM_10_740"	"BM_10_722"	"hB_RNA_13262"	"BM_10_657"	"BM_10_639"	"BM_10_748"	"hB_RNA_13193"	"BM_10_744"	"BM_10_787"	"BM_10_588"	"BM_10_624"	"BM_10_703"	"BM_10_616"	"BM_10_621"	"BM_10_631"	"BM_10_743"	"BM_10_699"	"BM_10_566"	"BM_10_739"	"BM_10_719"	"BM_10_697"	"BM_10_671"	"hB_RNA_13444"	"hB_RNA_12638"	"BM_10_656"	"BM_10_729"	"BM_10_647"	"BM_10_584"	"BM_10_813"	"hB_RNA_12924"	"BM_10_576"	"BM_10_735"	"BM_10_666"	"hB_RNA_13081_resequenced"	"hB_RNA_13389"	"BM_10_792"	"BM_10_780"	"BM_10_659"
"ENSG00000142669"	98.4604756497022	51.1656271461985	244.074215720519	159.996280069535	63.297980753849	76.7211135360981	182.582906729999	260.834526973538	41.7552977749438	91.1941537323417	247.479021071056	97.8117291867282	104.150682506529	78.8863309290678	181.531964247675	51.9673753219622	51.5607671659845	67.7492586208876	96.6902256303804	57.8914467952075	65.4503203546039	82.3850368946592	75.713543400106	86.4390933897356	72.987500843805	59.9597810346954	45.9065039253498	95.861410181304	59.2932849167099	79.9275652323375	287.967476664671	189.117213536553	102.767628388016	70.6853188806068	103.803879512592	65.9029854319824	65.3800837657205	307.824393022976	57.7370475353275	50.2918984416982	86.844955358622	277.891227004984	217.221261782669	93.91857206058	65.0725367189342	104.039010732797
"ENSG00000228577"	132.745819849152	133.960914710047	86.3769140049888	95.9977680417209	125.636901193246	110.131921043754	90.1058500745451	56.421652997822	151.744862645527	106.917283686194	95.8545504148457	95.1196632458091	92.273850290872	106.663208016768	101.811577832029	105.790728333994	232.02345224693	75.9258932820292	79.1101846066749	161.728486285024	66.5411590271806	116.184026389904	109.626901381403	129.658640084603	169.984048017809	74.187525686996	167.099674288273	115.201870130164	135.006248733432	135.876860894974	30.7054658115067	108.066979163744	114.560634924346	175.703506931794	68.4663886146882	107.641542872238	156.068587053655	83.1957818981016	85.6743286008086	149.552224313471	144.083675935896	37.7138093792479	73.4959156407527	117.617650991754	123.295332730612	114.990485546776
"ENSG00000285854"	2515.13768601605	3186.22314501327	2975.64506503425	2221.03926969254	4730.08547087853	2398.15351666061	3045.81485317771	3422.29698511379	4577.80642678957	2476.39296773169	2383.29268531457	2917.30212464269	4920.66294719442	3094.34410756977	2911.23483404605	2629.9203868293	5214.08257966018	4214.47112248556	6087.57753893092	6031.73740894829	5119.3058904026	2730.32462016274	2616.84934376616	2696.1370158769	3842.40777468505	4453.28407617009	4762.34071721579	2386.44457977667	4114.95397321967	2851.13043407353	2590.0475350733	3722.90743219099	3207.69777788169	4851.03245574907	2470.31147308157	3499.44852643826	5659.59531565519	3095.92303388311	4744.68156762087	3324.55918119857	4787.32816414404	2475.21685768011	2134.64803872142	2929.90835082445	3212.52839170317	2809.05328978553
"ENSG00000261087"	424.610801239341	297.690921577882	350.262348533991	482.897863482596	293.472456222391	339.05782433695	297.58642590409	358.878710871392	245.439677164914	318.393381565503	652.682347824722	233.312381546324	321.588072300861	391.098429394815	388.036579661697	457.498500602274	277.139123517166	390.142282403042	312.534062643654	309.673294761666	287.981409560257	530.221647706653	276.827643056637	284.740542930894	302.513983760508	219.513774635495	286.456584494183	327.106040004625	314.710512250229	474.998101952177	208.299241045626	364.726054677637	402.646937454687	522.061569446767	374.356544199666	377.843783143365	230.939328140206	329.663285771228	329.659916572676	317.633042789673	365.143562303297	333.469472405981	445.8752215539	462.570910989959	385.297914783163	445.359975768465
"ENSG00000114395"	87.9111389729484	92.0981288631574	89.5467090143462	66.9075353018055	117.005358363175	82.9083001115899	84.1778336222724	86.9448423245126	96.7500802102356	100.628031704653	95.8545504148457	99.6064398140076	122.422732069078	98.8856824322117	97.9696314987453	76.0950852928732	116.011726123465	95.7834346019445	123.060287165939	72.5940364574824	129.809802036631	88.7223474250176	100.951391200141	97.8795616324947	78.7496719630528	95.5291426654469	86.3042273796576	84.0889562993895	100.34248216674	93.6294335578811	116.182843611106	90.5060950496359	99.3981979490649	77.7538507686675	100.490989740913	110.936692143837	111.77885288978	121.673831025974	96.849241027001	70.1439636160527	93.7530768076033	105.201678794744	106.160767036643	85.1411354194043	90.7590643711451	92.1749130176537
"ENSG00000204394"	487.027709910134	719.109632436572	691.80776079225	429.080932913753	592.699274331495	452.902057325998	560.790356384998	507.794876980398	423.663509131137	408.01522230246	612.597717651241	673.913840543421	537.198257138938	419.986381566023	641.605037658449	372.12352685905	393.150849640631	693.845855531159	603.581408480557	280.268115437116	719.953523900642	661.192732000726	544.191093188262	460.161055986533	406.233063906967	575.20739094301	331.444958341025	516.306191678251	419.614016333639	400.77964852215	532.781325702359	489.003080715943	463.296685355811	417.04338139558	463.804568034984	615.094530698502	313.191691587403	803.879242590407	593.201601290381	341.455520998898	371.064809259567	430.731401857726	487.52290708366	525.768454806424	392.147655490419	370.524897872945
"ENSG00000198046"	1121.74613329482	1030.75481596342	830.486292451636	789.799818888704	1313.91263079959	1221.35063000208	1279.26595040045	852.799410885113	1127.39303992348	1158.0085211012	917.589468971205	1171.04868429982	1228.79533308141	1043.29950341401	1102.63859765254	1237.93711927674	989.322219997327	1180.93966320202	1138.79599075781	1077.88360461553	1111.56460735569	1065.72438752194	1236.65454220173	1258.4515067035	1252.31185658318	951.226356753812	1067.78528130364	1199.10851682929	1110.15273451748	1440.979818903	609.130051503943	991.514533827354	1241.63511675357	1017.86859188074	927.609136069968	963.281970397475	1302.32908791395	1008.74885551448	1270.21504577721	1179.21267135666	1071.74569908481	809.854432985954	739.042262832014	1185.83169022284	1157.6061795263	1139.86600355495
"ENSG00000276012"	327.029436979368	510.725987332055	447.733545071731	263.266606296235	664.628797915414	346.48244822754	411.404341787725	286.732990644669	475.603025875579	349.053484975515	426.988451847949	334.713531987611	559.124716613997	426.652832067071	455.270640494169	444.506656771784	580.058630617325	502.27898632727	693.434951490607	634.049179185606	589.052883191435	411.925184473296	467.688867044405	298.723337449821	498.427801814932	488.824655554042	545.369266633155	336.355825197558	420.526220716973	375.659556591986	116.182843611106	560.597454411924	457.400182087646	582.648985630145	234.110877198611	465.714430386009	426.025061957276	417.018856764234	612.757698036218	431.451549789305	496.397869833942	156.810049524241	210.688291503491	446.771525035843	417.83418314263	301.165557384413
"ENSG00000182568"	2278.65672217882	2747.1290356859	1971.6124958203	2276.31071189838	2953.90576851295	2612.23017217263	2449.45639807908	1817.51718263476	2026.6595749302	2380.48187501319	3039.46065315438	2003.79441535747	2871.45258875456	2527.14027743894	2730.66335638169	2932.44475031072	2265.45120735544	2527.74820095863	2714.16300027098	3428.46012687173	2346.39398471255	2914.10662554314	2556.90945524108	2474.95462985022	3198.96533303572	2221.56070070922	2804.88738983887	2408.30770841451	2788.60879985203	2893.37786141062	1070.54191613091	2690.86778117723	2356.91659204647	3150.54564153562	2038.53150617281	2600.97115838224	2317.8294212428	2642.50602253845	2650.31673041197	3001.63225436241	2703.04923553711	1824.15741155415	1834.13140587923	2679.75140655094	2239.86521127279	2237.75135365631
"ENSG00000254377"	2243.49226658964	1923.82758069707	1574.59567089828	2479.94234107779	2323.80314191782	2556.5454929932	2342.75210193817	1689.87475454132	1998.1437618156	2186.30122008312	2271.75284483184	1960.72136030276	2791.96917315747	2053.82229186453	2761.39892704797	2485.15412700383	2136.54928944048	1970.56895333513	2205.31847952928	2400.19776236638	2272.21695497733	2091.31247501827	2288.7573223657	2705.03515784349	2204.99081496548	1940.0546100887	2359.59430176298	2434.37528486732	2234.9007391683	2320.18303645871	1204.98206373804	2463.92712493337	2336.70000941276	2049.8742475376	2283.68534927702	2014.43458803759	2195.5053935521	2240.04642760639	2182.83289391625	1934.91461899376	2131.64890425709	1663.37748735841	2187.72842223974	2078.4969966304	2155.9558876089	2384.68364074385
"ENSG00000183308"	1268.55773537965	1498.68773331865	1604.70872348718	1159.24577468563	1771.38440079332	1343.85692419681	1587.52280591863	1144.15712718534	1483.84070385593	1298.73053418818	1641.72702710518	1202.45612027721	1584.18669707299	1276.06973340893	1624.18281239586	1578.5090254046	1566.15830266678	1392.36407372583	1698.42729667911	1911.33665609574	1591.53362328945	1699.45544055778	1627.84118310228	1253.36685415117	1671.98998643506	1243.91138960114	1619.58145848634	1240.31210541599	1405.70695471769	1526.61649593765	777.595174740047	1723.66831766172	1432.00793655433	1782.27982606101	960.738033786753	1683.82127778715	1396.18114364216	1376.89019041358	1717.2115428249	1679.48471375039	1442.81050834438	1006.36322922519	912.982596515128	1495.67520365634	1371.66057662806	1268.54583261919
"ENSG00000226828"	411.424130393398	537.70422710005	248.036459482216	239.994420104302	373.074462321928	638.517654590752	465.942093148634	405.125967426984	334.04238219955	544.02029640328	169.923975735408	626.354008920517	309.711240085204	403.875792855157	368.826847995276	438.010734856538	406.041041432128	420.512639715854	214.867168067512	422.699452790404	474.514822570878	440.443081859909	526.840072825737	472.872687367377	553.168427447785	548.784436588738	503.135283021833	507.897296048312	462.487622350337	468.147167789406	426.557011543633	347.165170563529	489.409771257684	207.007005293206	397.546772601415	396.516295682427	529.367775006318	277.665922084914	437.68407002587	493.654687335616	317.77358665314	275.906289669234	379.728897477222	392.351417860554	491.468895745635	379.651126884593
"ENSG00000232913"	35.1644555891793	43.7233541067515	31.6979500935739	52.3624189318478	34.5261713202812	27.2236209321638	35.5680987136362	35.1479149822498	35.6447663932447	33.8047294007818	27.8849601206824	23.3312381546324	20.0992545188038	53.3316040083839	38.4194633328413	32.4796095762264	67.6735069053546	35.0427199763212	10.7433584033756	23.8917082011968	32.7251601773019	31.686552651792	28.3925787750397	33.050241590193	33.6126648622786	47.7645713327235	26.6257722767029	40.3626990237069	26.4539271166859	29.6873813720111	71.3694610753938	36.4726054677637	29.4825163408243	43.420981598087	39.7546772601415	46.1320898023877	28.4719719624912	29.1185236643356	30.7310091720292	39.7041303487091	35.5274817376181	37.7138093792479	22.0487746922258	32.4765155723501	41.0984442435374	29.2039328372764
