"BM_36_279"	"BM_36_544"	"BM_36_304"	"BM_36_327"	"BM_36_418"	"BM_36_328"	"BM_36_383"	"BM_36_495"	"BM_36_455"	"hB_RNA_12292_resequenced"	"BM_36_307"	"BM_36_375"	"hB_RNA_9105"	"BM_36_507"	"BM_36_368"	"hB_RNA_9085"	"BM_36_539"	"BM_36_403"	"BM_36_291"	"BM_36_492"	"BM_36_345"	"BM_36_352"	"BM_36_377"	"BM_36_347"	"BM_36_465"	"BM_36_297"	"BM_36_505"	"hB_RNA_12322_resequenced"	"hB_RNA_10892"	"BM_36_290"	"BM_36_545"	"BM_36_382"	"BM_36_390"	"BM_36_348"	"BM_36_471"	"BM_36_278"	"BM_36_1107"	"BM_36_281"	"BM_36_388"	"hB_RNA_12252_resequenced"	"BM_36_349"	"hB_RNA_10802"	"hB_RNA_10722"	"BM_36_541"
"ENSG00000143314"	190.21607329229	165.154493306971	227.083675013862	168.559389524831	136.688859746165	224.533377652478	203.723434357504	149.023952923729	222.59443328552	265.695905966481	188.460785820986	176.037024838179	244.150641186347	172.770539532731	253.668085402241	227.560948827988	144.95221306209	188.6523830602	195.007403083055	187.444290288996	157.308205277805	199.557822719396	130.011174464882	305.084301496794	161.773359736426	169.443759531963	158.280438155965	220.061669145112	380.900468627478	398.661886641401	176.540464194421	281.592486678774	223.966251462994	158.652971746535	182.094999935345	198.208914511678	154.739431714503	225.535117523315	206.929427446516	249.372535741178	215.432931300777	99.6639882499353	148.993889775436	187.338951240262
"ENSG00000140798"	77.8783198624233	45.6810300636301	38.0017578594626	57.2465851216407	19.5269799637379	32.744450907653	41.5358458398795	35.5288894387697	42.60883541439	33.2119882458101	57.9069453639902	38.9032099089898	22.1955128351224	29.3827448184917	50.0873289647737	18.9634124023323	74.2612323076716	64.141810240468	51.7555193016638	6.94238112181468	50.399716254054	44.7986948961909	62.2742600378005	50.7065321047303	24.8882091902193	43.3941335386735	54.9283712322069	26.8095434491507	103.489938645956	98.3711148855406	49.6064114265316	45.5517257862722	25.3546699769427	40.8799068303956	46.5418530186186	70.0849200483283	43.9868435330567	85.1417712738619	28.0582274503751	45.3404610438506	54.146244765436	15.6335667843036	29.7987779550872	28.7615817256834
"ENSG00000268400"	103.378300702332	91.3620601272603	129.762100007921	108.132438563099	81.8273446099491	113.436133501512	103.839614599699	111.521236293916	92.5640217622955	131.74088670838	106.338208759327	82.6693210566034	149.578456062782	106.95319113931	132.489063713272	148.36081467707	91.3984397632881	109.418382174916	87.7995416724653	102.400121546766	64.1450934142505	108.942280770283	67.7369144270812	180.853297840205	87.9383391387749	82.6554924546162	100.461100016799	130.69652431461	181.107392630424	176.032521374125	116.720968062427	121.126179931678	115.152459478615	76.8931580857442	118.681725197478	113.887995078534	104.46875339101	105.068568806042	121.877925487567	126.10315727821	101.380202965072	64.4884629852522	97.9102704238579	115.823666949374
"ENSG00000272256"	254.310619727736	157.248161180573	139.030821437058	139.93609696401	84.6169131761974	74.8444592174926	164.165485938571	147.050125732686	271.814984540074	360.90360560447	191.619346477204	122.545111213318	253.800864158139	152.790273056157	258.5152462698	254.332825160692	160.661319896405	244.304836062959	131.23720965779	178.766313886728	62.6178292853398	203.630431346322	146.399137632724	223.108741260813	191.639210764689	132.248787927386	185.021882045328	283.734334836845	664.060439644886	272.33266541997	223.958357469782	207.05329902851	287.352926405351	106.093091536027	182.676773098078	279.244603317558	153.953952365698	228.252408095885	217.451262740407	306.048112045992	108.292489530872	76.2136380734799	100.038754563507	130.593127835536
"ENSG00000167645"	240.526846300759	190.630452380918	214.10746501307	242.767925793624	202.708649147374	145.011139733892	182.955511437564	216.134077419183	205.697826138435	326.584551083799	188.460785820986	235.364419949389	302.051979017101	199.802664765744	208.427917305026	332.417464464413	217.071294437809	189.595644975501	176.523289046746	185.708695008543	140.508299859787	221.957170167491	162.787100800566	305.084301496794	160.943752763418	144.647111795578	173.458014417495	290.436720699132	344.966462153188	304.432713435252	214.47477881471	318.862080503905	199.668026068424	173.252938471677	217.001389699309	226.680913281312	179.87477087625	193.833394176664	221.835360779528	357.056130720324	205.064501452077	121.160142578353	151.122373915085	237.088714225228
"ENSG00000175662"	4204.05089522816	5465.03246203544	3879.88679023684	3606.53486266336	4248.51292639611	2488.57826898163	3313.9671287961	4864.49711232489	3925.15530377734	5293.99092638213	3113.28795347853	5180.93497962972	6291.94537760862	3631.70725956558	2085.89489333944	7232.86858921898	4746.29241489513	3324.99825143603	4516.59326477198	4883.96511919663	4638.30115950187	3175.6165768459	3854.44893707649	2411.09560157993	4644.96944186793	3811.45139581349	4711.55331661522	5595.37513069982	5173.05957203884	2221.11622557352	4175.69263243333	3086.12942201994	2153.03405887539	3948.80433359322	5834.02127588385	4151.4364359877	4501.58214799907	3479.03769641387	2945.23706268156	6251.31606642091	3559.82758138718	4375.44450375696	4416.60458977185	4745.66098473776
"ENSG00000133121"	4275.03732837709	4438.08776695114	5938.46981964821	6122.20424217546	5210.91408175176	4464.93977019354	4218.85519887919	4913.84279210096	5503.15148429648	2984.65067702347	6072.85928835446	5840.3443875871	3939.22101708565	5728.45992981315	4536.94257203498	4899.25336888491	5166.86804786838	4184.30985627524	4878.88189988363	6086.73264855102	5736.40406818869	5834.01185807214	4428.02764795097	3873.97905280139	4397.74656391175	4705.16390797903	5671.35432972536	5942.7821312284	2587.24846614891	5287.18855374284	4792.12524501303	5707.42418772088	5967.85544582289	5178.12153185011	4518.0503817824	3937.89644521545	6220.9964425323	3755.29557129182	4120.17533716602	3515.30262030604	5330.52498999303	5012.51235021733	6498.26207834865	4444.83038668805
"ENSG00000106560"	31.0134902106995	41.2886233267426	56.539200717737	78.4490240555816	96.7050436299399	81.8611272691326	128.563332361532	66.1232108999326	99.1757376024595	66.4239764916202	60.0126524681353	70.0257778361817	113.87263106715	110.479120517529	142.18338544839	69.1606805261531	62.1223770266099	30.184381289632	48.9829021962175	59.0102395354248	67.199621672072	79.4158682250657	44.7937659921021	67.6087094729737	49.7764183804386	79.5559114875681	79.5015899413521	99.4187236239338	48.8702488050349	57.9871835114765	70.7620868878465	73.5039211551211	72.8946761837103	62.2931913606029	50.6142651577478	27.3769218938782	58.1254718115392	30.7959598224607	132.399760781457	56.6755763048133	70.2749134189702	50.8090920489866	161.76479461333	71.5152842908885
"ENSG00000089091"	670.580577222459	672.916712091167	583.002577892731	559.744387856042	524.438890454674	714.530696592	579.523944337366	642.480750684419	643.54034177596	482.680895839107	506.422558546896	556.315901698555	522.077062773967	604.10923346819	570.349262082745	419.426062545702	662.638688283839	674.432269440215	695.002687765199	525.017572337235	618.541972208844	565.074446986045	792.084886445708	438.611502705917	568.280776510008	661.24393963693	702.504958390856	447.942788462893	399.586151994109	464.93295351166	717.833953583927	415.141864552163	504.980510374109	663.811820436424	739.433689833304	669.091971086384	688.86538890162	731.856927545536	724.252996062807	442.069495177544	549.526781981127	607.754908739801	502.322256957184	642.860218571356
"ENSG00000164600"	243.283600986154	104.539280337923	103.809680006337	95.4109752027344	30.6852542287309	92.3861293465925	184.933408858511	207.25185505949	488.532337078782	127.312621608939	286.376166163733	33.0677284226414	48.2511148589618	31.7333644039711	287.598211475152	49.0817732766248	109.963747840206	259.397026707775	136.782443868683	32.9763103286197	64.1450934142505	185.303692525153	308.093707555434	459.739224416221	58.902095083519	126.04962599329	325.233777032804	94.9504663824086	886.851279785486	454.578099313182	208.638730411589	308.50941555248	203.893804397914	105.119760421017	63.9950479006006	410.653828408174	86.4027283685042	337.849794522877	67.515109802465	76.512028011498	124.421158184406	76.2136380734799	97.9102704238579	71.5152842908885
