"hB_RNA_9228"	"hB_RNA_4601"	"hB_RNA_4520"	"hB_RNA_16275"	"hB_RNA_8375"	"hB_RNA_16415"	"hB_RNA_16375"	"hB_RNA_5111"	"hB_RNA_16335"	"hB_RNA_16095"	"hB_RNA_16865"	"hB_RNA_8595"	"hB_RNA_16695"	"hB_RNA_17035"	"hB_RNA_16715"	"hB_RNA_16855"	"hB_RNA_16105"	"hB_RNA_8665"	"hB_RNA_5041"	"hB_RNA_17055"	"hB_RNA_16045"	"hB_RNA_16515"	"hB_RNA_16595"	"hB_RNA_16325"	"hB_RNA_9025"	"hB_RNA_9231"	"hB_RNA_5161"	"hB_RNA_16745"	"hB_RNA_9230"	"hB_RNA_8985"	"hB_RNA_17015"	"hB_RNA_16125"	"hB_RNA_8645"	"hB_RNA_16215"
"ENSG00000162714"	787.087417927015	804.385171546	989.031500833972	718.69820115685	748.400617060827	792.429060136029	647.714104619429	567.284593643895	639.009933599682	698.453302464167	723.721794426394	668.414345559385	805.728013103937	819.953200601831	819.589208452507	669.861177337384	778.297210540458	680.192383938093	804.680849155358	745.627447790267	756.396032007453	702.604457827414	823.188380282001	843.49151396542	633.32531113646	672.051147784713	680.141433609366	667.419302502228	671.88802776695	937.401797712411	670.267764695787	554.883924891028	615.275839081419	644.657823445723
"ENSG00000070770"	735.991964000813	738.302537056385	730.033323637162	866.288010322989	823.446283332036	867.94288821958	814.122866675804	881.034173368731	778.690246107702	824.481132757027	868.893127821659	926.541836730692	785.400012773333	911.220076287194	789.829251718574	923.907168062276	912.889961235424	771.437703734667	930.412231835883	790.928294371942	749.1142410856	884.626338093584	829.751385591766	772.504604374271	809.302725833919	883.128584092547	800.956030368925	842.426644037829	827.775717662519	831.931774205336	909.256680796334	781.798377619644	763.220524574829	774.043372517576
"ENSG00000287999"	88.0581227238787	137.862047814541	99.6146835372346	133.68642134614	154.203423844951	192.979782880186	56.3229656190808	64.4401493710942	75.8893036460897	51.8245283447274	87.529774547145	89.6653390384541	97.0200015778823	247.724376860271	54.1631212557575	46.708007263321	58.518587258681	53.3251868941014	173.772030391292	56.3199714258658	91.9326103883908	76.4491897117912	88.131785588278	57.4158827575471	73.4850742692686	123.73504887011	59.2886447060796	113.04822061927	64.0468803446913	69.9847819532925	76.9159729978772	46.8527817374875	80.0641827376104	70.3675793197797
"ENSG00000289016"	97.8423585820875	82.0336152284872	34.1536057841947	34.2237238646119	81.2138032250073	25.1712760278503	21.7611458073721	94.0192343283178	48.3931791366369	30.6235849309753	34.1579607988859	24.4541833741238	49.8960008114823	11.5894445314746	22.0223679831102	13.6706362721915	29.2592936293405	15.4050539916293	39.0330262649987	23.2625968932924	38.2294023397269	61.8874392904976	32.8150265488269	31.3177542313894	26.1065395430296	48.5235485765136	58.16999103238	41.3060806108871	20.5433389784859	34.4995403995104	25.6386576659591	34.9099158044025	29.5889370986821	24.9691410489541
"ENSG00000214944"	1917.71022820891	2390.36839929675	1582.45040133436	1374.29641143832	1727.07834706345	1419.84642186726	925.488730513532	2162.44238955131	1327.51289131638	1633.65047304857	1460.25282415237	1897.46348773294	1811.0400294538	578.023546007298	1138.02074550559	1159.72564375758	1366.4090124902	1160.11906598501	1494.8898424374	1171.70027509899	1209.68751689279	1146.73784567687	1504.80336031049	2052.35682729705	1716.26324773621	1660.71845003118	1686.92973993902	1562.02204836434	1104.50657801977	1581.06465145185	1574.94611376606	1181.42504538057	1871.06514006372	2248.35765536264
"ENSG00000289361"	77.1867495480912	99.1239517344221	45.538141045593	94.1152406276827	62.7093923636133	79.2429060136029	74.2439092251519	79.229691849706	83.5882185087364	78.914622706744	85.3949019972147	97.8167334964953	58.2120009467294	86.9208339860598	92.8510650098701	79.7453782544505	99.4815983397577	103.095361328596	83.6958159336031	75.9095267044278	75.5485808142222	81.303106518889	65.6300530976538	77.2504604374271	165.341417105854	80.0638551512474	87.25498654857	80.4381569790959	93.0492412554949	114.34133389552	76.0003066526643	74.4132415830684	99.2099655661694	125.980666201541
"ENSG00000176177"	58.7054151492525	55.8284325860538	130.92215550608	88.7677837738371	82.2418260506403	95.0914872163235	134.407077045534	44.3686274358354	123.182637802348	138.983962379042	108.878500046449	79.7025235897369	53.5920008715921	130.38125097909	159.513368093879	144.68090054736	95.580359189179	109.020382094607	83.6958159336031	131.005150925384	109.226863827791	78.8761481153401	103.132940582027	51.1523319112693	101.525431556226	71.5722341503575	46.9834542953839	75.0031463724003	132.92748750785	59.1420692563035	103.470297009049	95.5429274646804	56.5670856298334	122.575783331229
"ENSG00000244687"	529.435873660851	732.605758221073	725.764122914138	759.338873246077	582.888942133913	853.958845981886	718.11781164328	455.306629162977	767.691796303921	859.816038446614	814.453877798435	462.818063117677	578.424009407184	748.967852846549	807.090026624255	866.946183594811	785.12437905397	411.196441161182	667.314622107382	837.453488158526	877.455806083255	777.840168337431	828.813813404657	687.946667949519	417.704632688474	493.727106766026	426.207049679554	801.120563426942	451.953457526689	570.720968323329	772.822395359623	733.108231892452	405.542490823113	705.945715111338
"ENSG00000112592"	226.12456205638	304.20798980564	251.882842658436	295.179618332278	372.144262879147	313.24254612436	304.65604130321	184.869280982647	263.962795290747	248.522170016761	280.735740315843	225.521913339142	232.848003786917	367.96486387432	304.741956955471	274.551945133179	282.839838416958	254.775892938484	282.23880530076	324.452009301183	271.246711839015	264.538465986833	283.146800507021	270.376611530995	212.719951832093	257.174807455522	246.103808213915	267.402521849427	235.644182400279	275.010622041811	296.675895848955	281.116690424925	167.090468321969	250.826371446311
"ENSG00000213995"	1096.92155343696	961.6162674006	1408.83623859803	1124.03543067835	1274.74830378493	1075.83898281997	1287.74780483626	1155.69710511438	1283.51909210126	1270.87877463547	1158.16835833722	1275.24037743579	1000.69201627473	1206.7509118398	1426.69232582473	1306.68498368364	1145.01369069486	1509.69529117967	1163.48443674515	1125.17508131241	1169.6376668226	1181.92874252833	1191.65424981597	1075.2428952777	1465.83384989752	1237.3504887011	1095.16194655192	1133.74321255672	1575.79494282033	1404.62414483721	1108.87194405273	1224.60309913864	1063.46120984087	1347.19865568675
