"hB_RNA_12282_resequenced"	"BM_36_369"	"BM_36_322"	"BM_36_416"	"BM_36_472"	"hB_RNA_12352"	"hB_RNA_11042"	"hB_RNA_12262_resequenced"	"BM_36_448"	"BM_36_350"	"BM_36_412"	"BM_36_487"	"BM_36_510"	"BM_36_286"	"BM_36_521"	"BM_36_458"	"hB_RNA_10952"	"BM_36_419"	"BM_36_341"	"BM_36_400"	"BM_36_528"	"BM_36_450"	"BM_36_344"	"BM_36_367"	"hB_RNA_10972"	"BM_36_351"	"BM_36_430"	"hB_RNA_12382"	"BM_36_428"	"BM_36_417"	"BM_36_358"	"BM_36_531"	"BM_36_527"	"hB_RNA_11072"	"BM_36_354"	"BM_36_370"	"BM_36_482"	"BM_36_435"	"BM_36_538"	"hB_RNA_10842"	"BM_36_413"	"BM_36_499"	"BM_36_467"	"BM_36_414"
"ENSG00000198755"	1598.89800420358	1493.6171683718	2007.67055501312	1639.72677315329	864.820614828856	2326.07109730186	1875.04682678985	2336.36873090349	1797.16751613007	1671.68334951112	2737.73023882618	1059.38527842858	1122.99601782229	1325.13728893373	1703.18900995058	1348.9768236553	1882.0476812196	2343.40032063233	1973.00546098647	1965.42958401226	1605.95665389575	1293.18910412342	2936.48100413484	1806.0733993658	3139.9497316538	1832.67401446564	1917.5003265301	1620.32118845462	2232.44385310566	2455.7082357486	1686.28746688149	1377.64743383959	908.118333812898	3135.12383241034	1439.17438298854	1963.77648344071	1671.39435546641	1476.54687603825	2470.34272659924	922.124885302248	2177.57867992314	1125.81886358199	989.527896665533	1731.79752482309
"ENSG00000184384"	6509.59022917984	9284.72735815249	3653.99645447856	5539.13507186398	4661.95866437993	6712.60111930829	3544.21157753571	6393.83471197431	6214.35477417101	5099.79440662565	7587.45085207185	10430.7142206428	11571.0722442426	4207.26376799442	6020.93775135123	4836.42381937247	3161.29739245022	4054.40997589642	4721.12021021763	4277.69968285021	4256.77240125851	7078.38335801217	4209.81097667016	5088.38261757481	1561.32486656615	4950.50117600469	3715.0562581597	3678.73497052785	3675.83427537225	4683.85675722239	5336.21814270118	5163.13671258535	6833.15310197393	2214.78915129704	5640.93382675881	5368.77150349746	5137.57459599741	3616.01538786713	5974.91785776665	7100.84189020507	5353.12306642413	6322.30008111678	6201.04148577067	4325.11505725414
"ENSG00000254898"	56.9991061827601	61.2462066395845	54.0665320021488	107.093911163858	64.2822583191717	62.8667864135639	74.6149805796991	56.8156097076174	61.8959638861654	59.5228229457791	75.7325100643479	58.8923445516208	56.7169705970856	53.7217819837997	60.6425385028181	60.6107098186138	69.7772569762157	97.2908715951148	58.8812784345278	84.9808668803691	61.7042771732486	69.9021137364011	71.8091424591925	73.7172816067673	82.1749929771656	77.3119743308464	70.839642625797	68.3548727631865	75.147945794197	69.7204230969634	66.4590436238107	60.0629951839557	57.2543958270829	83.3752672785565	62.9754556262681	57.6487414646419	65.4349020596468	60.9783370635266	65.731584843833	91.2519417747016	64.5613779474701	65.8801675698171	51.0470740343331	87.5750960719643
"ENSG00000260927"	245.534611248813	222.264459579137	207.25503934157	254.645522100729	256.381565156696	246.752136673238	284.642333322556	223.105199095766	190.057018521049	242.126737406559	211.10437180437	194.953968170883	243.882973567468	246.931699644834	219.179460588757	243.996960039035	331.441970637025	287.195169035579	293.441125313056	271.741144094204	216.376331954192	212.883710015403	296.212712644169	244.779178668625	340.5937208922	242.075198314617	251.158732946008	358.863082006729	237.357536106061	232.401410323211	230.391351229211	236.450525344433	240.150382496931	357.017170141511	232.453520032255	190.612774197606	234.630863099591	251.753420162274	194.698618398189	297.769494212184	225.417692494557	249.612634903418	219.109748547368	238.642136796103
"ENSG00000285269"	616.759559208327	465.273602052327	692.051609627504	561.648067437121	293.754971156215	322.192280369515	641.136129425563	473.925329756223	471.137513345283	528.643376670987	1085.81486304759	736.492768645557	271.43121642891	450.508978741337	315.341200214654	461.573867080213	207.393513790419	487.389847125527	173.748034724836	440.714728240054	288.776017170804	371.752150325406	251.331998607174	524.526811432767	315.724973017531	385.292462238972	433.087815144077	215.939257138248	372.990413880953	391.209040710739	318.117288812641	366.460299729957	301.380778034228	257.608197617078	444.532627950128	696.433989629303	336.522353449612	378.936808894773	240.461114175541	314.57906243384	283.413506582962	638.305623565339	406.805913073608	389.709177520241
"ENSG00000282527"	109.613665736077	146.200622300944	98.2208664705703	229.656942829162	163.695518277891	83.2984919979722	63.5609093827067	81.7590481158397	185.687891658496	103.912724803648	126.851954357783	134.707776618075	270.620973991808	145.143060096582	213.981528717087	195.04215595477	142.461899659774	200.194678089948	216.219776546463	175.890631450066	144.799370433223	196.996865984403	302.624243220883	159.720776814662	100.556241406268	130.543169771757	186.759057831647	121.174547171103	142.964384681643	186.889467468249	140.893172482479	150.537633499028	108.147192117823	119.718332502543	168.551954764424	83.6836569648028	250.522196456933	229.104323538679	89.0288554213941	199.313451771059	193.68413384241	154.452392858127	187.69616452624	189.381145255623
"ENSG00000166573"	128.613367796997	214.361723238546	70.2864916027934	115.423437587714	115.857558598507	86.4418313186504	103.631917471804	113.631219415235	124.520115582756	179.577330243198	136.318518115826	68.3692735599276	107.762244134463	133.833211257887	117.81978909119	49.7318644665549	164.751856749398	128.162013543565	181.470169601495	160.080237611858	111.067698911848	95.3210641860016	189.781305070723	137.983629674205	91.9062421455142	133.077988602277	78.0846060761626	102.53230914478	75.147945794197	145.250881452007	113.423434451304	111.762788506854	196.414385684576	97.2711451583159	96.3154027225277	98.5607515363233	138.348078640396	69.6895280726019	133.127260443206	220.92575377033	136.782580397182	113.460288592463	103.664827269723	93.0485395764621
"ENSG00000029153"	599.221372690555	1185.41045108873	1109.26501491075	1283.93700162003	1186.9793745447	834.556589640061	864.98107116466	627.74319994026	1396.66422039606	1321.60844167747	930.563217415674	1049.90834942027	1310.97226322978	1104.59523657918	1571.5080692016	1265.05430236799	1122.25088303414	1105.74817524448	1461.41402540779	1280.64190089486	1267.81721498635	1348.79305823192	888.638137932508	1173.80594558468	702.812439936285	1367.5347590653	1117.33436323416	1124.74836092152	1066.73425493226	1223.0124218259	1240.56881431113	1313.02269218597	1238.92150970271	735.412613944191	1392.8689009104	1046.97553047075	1118.93682521996	1218.69562216962	1160.7033019892	1642.53495194463	1303.26442602435	1135.33488778652	958.899652244933	1239.1876094183
"ENSG00000249715"	151.99761648736	194.604882387067	129.759676805157	94.0046553549419	242.92713899687	193.315368221709	149.229961159398	159.360856496976	138.35568398084	173.524161808034	80.4657919433696	224.73860219699	263.328792057897	262.953985499651	152.472668235657	192.7109748079	184.13442813168	89.8069583954906	201.740773652726	119.56610340145	164.544739128663	172.372257736353	125.665999303587	140.818909736004	60.5499948252799	154.623948661693	118.334403022638	113.406947993468	81.5630143376041	120.074062000326	221.530145412702	209.080046526428	333.983975657984	60.9280799343297	146.325323366917	155.279674590245	138.348078640396	116.729959521608	160.584757909617	110.462876885165	129.12275589494	177.144450576619	270.942162182229	126.983889304348
"ENSG00000172366"	419.454960883389	209.422513025676	182.023991073901	185.629446017354	187.614498117582	342.623985953923	270.824744326315	327.036192463359	192.241581952325	210.852033824878	167.55817851737	170.584722149522	306.271641224262	189.439968048136	148.141058342599	214.468665512018	275.232513628406	180.549405940934	212.358709108133	248.025553336891	198.276410650039	173.960942139453	269.284284221972	189.018670786583	259.499977822628	171.10027106007	172.269130930915	186.422380263236	116.387672144671	300.185155000815	297.736515434672	153.57879781214	239.355182554888	262.95276603237	167.625845122861	176.665498036806	267.348314129414	169.868224676967	183.882028487178	76.843740441854	175.081702908394	190.320484090583	281.936916589624	197.04396616192
