"hB_RNA_4697"	"hB_RNA_4442"	"hB_RNA_4746"	"hB_RNA_16015"	"hB_RNA_4663"	"hB_RNA_16605"	"hB_RNA_4581"	"hB_RNA_16945"	"hB_RNA_16025"	"hB_RNA_4674"	"hB_RNA_16395"	"hB_RNA_16935"	"hB_RNA_16225"	"hB_RNA_16845"	"hB_RNA_16385"	"hB_RNA_4701"	"hB_RNA_16775"	"hB_RNA_4831"	"hB_RNA_4498"	"hB_RNA_17105"	"hB_RNA_4688"	"hB_RNA_16435"	"hB_RNA_16345"	"hB_RNA_4591"	"hB_RNA_16485"	"hB_RNA_17145"	"hB_RNA_9227"	"hB_RNA_16065"	"hB_RNA_16535"	"hB_RNA_16315"	"hB_RNA_16115"	"hB_RNA_16295"	"hB_RNA_4389"	"hB_RNA_17045"
"ENSG00000153993"	251.092208435618	758.826421496034	238.465975433674	494.904715407229	284.702231468686	421.252997163151	235.794319623597	334.726495975542	385.828901525148	358.013811187088	427.613382279926	321.267627924387	460.777763472223	315.506293867535	235.900911065057	283.608002940271	363.613619053874	435.017679742446	304.548907976289	302.305325592491	499.519453681252	379.739907073522	669.544714507929	210.393724467465	299.197604195418	373.087627706415	426.812714740228	269.322281016386	325.366840111658	220.277088536195	285.267847863893	263.041591693171	272.644128463087	275.041503303209
"ENSG00000185915"	76.541119300077	84.0915823293758	91.8765013575628	83.5389033679722	53.5786487265793	54.2206828031779	65.6220040461898	76.5597836539803	72.9310728492658	47.6752060123509	53.3367229510446	107.089209308129	68.1819124946966	100.876161984858	85.7821494782024	96.138306081448	68.6652327827058	69.4073151948621	55.1719036188929	70.8258191388122	94.7364481119616	72.4359360313655	86.496207137388	88.4263479645867	105.716486815714	111.110796229506	64.0219072110342	52.4522794488841	102.978057139717	73.0919430142828	60.1655824585665	67.3532103297393	51.1207740868288	74.6719013492876
"ENSG00000063244"	680.469219143367	884.963794990098	778.369460939353	803.745509676702	699.674118664741	833.121645379598	729.627706005094	969.460516269587	743.42642001187	915.723768312701	860.744356589271	724.976948728842	820.382366468446	911.104909841962	918.073242629809	1142.84411354321	632.032256295361	950.195920695859	679.71785258476	995.880115451835	890.307302143094	744.114615594937	910.612847363057	775.509235597467	1249.64866018953	996.939070756485	839.754016251398	897.740936721286	754.807248609201	779.981145316799	868.251595134831	789.124775079513	1010.38706430438	624.754907955706
"ENSG00000124507"	4723.14711778524	4268.64889348165	7155.0115832502	3902.2793800524	5979.79742258214	4808.95748246647	6186.26417804929	6888.60006877325	6907.27838340143	5166.01336092323	3726.21381720056	6985.44612145645	6809.39358334131	7065.62394157772	9709.72234808033	6099.97552086787	4202.62436099606	5713.88390583055	5840.497717096	6191.21306813422	6191.24219422604	5767.80286601267	5443.65481400765	5316.7612207213	8241.23178667158	6169.70728604665	4663.99594032384	6825.8572121269	7207.36848853401	8768.0293832339	4619.26446013788	6790.84192257006	4041.54825721752	4934.56814749876
"ENSG00000256813"	52.2719839122477	70.0763186078132	58.8422536784391	67.0842708864019	51.4775252471056	61.5196208728364	56.7241051924692	92.5839244187668	63.5206118364573	63.8667854127719	67.1307030245906	73.9425492841843	56.0851215682181	82.6326007748305	53.1032353912681	64.8933566049774	53.0594980593636	89.936239407427	45.2409609674922	61.324794620191	74.2819877241518	61.4607942084314	83.2926439100774	63.0164778598204	82.1131202625204	79.5104780357933	59.7537800636319	56.4870701757214	52.5845398160256	64.0806075741658	78.8376597732941	58.2514251500448	75.1776089512188	57.2484577011205
"ENSG00000270149"	247.358495299029	217.236587684221	164.138918155646	186.063921137756	206.960662728159	205.412971388962	276.947101822055	263.50809257649	242.319371079818	162.815326193123	218.864483833597	216.728161695023	153.959157246089	199.606022650889	197.094700586822	194.680069814932	210.67741876512	212.13221686317	171.032901218568	153.743851301324	166.86533474266	152.920309399549	239.466351241472	275.442991935666	182.178096776766	199.795560192506	170.725085896091	195.687350251606	161.040153186578	204.256936642653	209.542200976387	191.137488773584	182.430997721624	161.789119590123
"ENSG00000205634"	72.8074061634879	4.00436106330361	151.751075275975	18.9861144018119	165.988754878422	62.5623263113591	160.162179366972	105.937375056089	51.7575355704467	90.8527510801403	60.6935123236024	110.488866746482	144.061782851698	123.412325832539	153.182409782504	26.4380341723982	81.1498205613796	24.4391954911486	97.1025503692515	45.7776635897201	58.1337295232492	59.9974419653735	5.60623564779367	46.75416099277	47.5391748888276	60.1425410783564	49.0834621951262	58.50446553914	92.0229446780448	184.231746775727	16.5974020575356	95.5687443867922	43.1018291320321	92.0953449974547
"ENSG00000265590"	2245.82845165836	1771.92977051185	1541.25411827912	2307.4457703002	2070.65718902133	1708.99421373863	1571.59138503841	1193.7984869766	1201.01008675968	1777.47560529067	2080.13219509074	1687.08000378283	1159.09251240984	1309.24380448433	1012.02512062974	1926.37130810701	1357.69892093077	1835.87236529509	2013.77448208959	2237.92313888613	1879.65725458506	2096.98376430196	1558.53351008664	1952.49441885024	1455.76256530193	1790.51480345988	1816.08810121967	1193.28935746211	1753.91350511369	1324.66630969721	1713.68176244055	1377.10009768778	1918.5325804351	2011.16320967415
"ENSG00000261340"	22.4022788195347	120.130831899108	49.5513715186856	43.0351926441069	35.7190991510528	25.0249305245436	27.8059339178771	54.3040325917767	94.1046101280848	28.785030045193	31.2663548333709	72.2427205650077	51.6862885040442	54.7306836300826	65.3578281738685	45.6656953886878	56.1806450040321	62.5643404573405	41.9306467503586	41.4590160812559	52.750976789615	39.510510562563	76.885517455456	26.4262649089569	59.8395208390837	38.2261913633621	37.3461125397699	65.5653493111051	59.1576072930288	78.0982404810145	45.6428556582229	49.1496399703503	33.0781479385363	57.2484577011205
"ENSG00000110237"	2336.37099522064	3312.60768961791	2502.34426169362	3042.84126813038	2747.21894941186	1974.8841005619	2134.38348753624	2911.05223893623	2616.10816156076	2410.74626628491	2683.38892364048	2372.11097761102	2540.32609456047	3058.47937932814	2871.65957538935	2937.02525078824	2152.03081834889	2792.91126072847	2379.01248404666	2958.27354329795	3083.24076582566	2352.33873071556	3190.74897440142	2319.41294316307	4215.02935954856	3133.52832669267	2504.32360373829	2401.70918014987	2971.02649960545	2239.81748661576	2466.78888080123	2632.23627396765	2775.557322479	1941.46943508148
"ENSG00000166913"	2253.29587793154	4484.88439090004	6387.99764495055	2275.80224629718	4433.3705416895	5065.46302034304	3891.71851114607	9157.79644707552	10724.3966317219	4067.68455826133	3410.79147285214	6765.31830232307	8010.2750098608	8510.08472914813	11312.0103544053	4550.94706413054	7467.34406511926	6635.73035975668	3815.68885428263	4183.90570620008	5066.2468728965	4769.06496012566	6219.71800582366	2622.29859481188	5826.70712081455	5019.35376728521	5642.46408886581	10529.7950993635	8032.28845689791	11877.9413695676	8416.95751842774	7376.08670962442	4349.27526985784	7085.11890635824
"ENSG00000173805"	283.762198380773	479.522237330607	254.983099273236	283.525975067057	264.741558413686	252.334716122482	194.641537425139	505.650664133265	299.95844478327	260.864334784561	277.71879881406	298.319940215502	230.938735869134	398.138894642365	273.685905478074	358.115190153394	237.207167794802	514.200673133767	312.272974482934	291.940571572177	303.587254176968	273.646869451825	415.662328743559	497.017059249228	464.421170067777	608.560966504725	305.171091039263	324.800653510398	262.922699080128	173.217892348917	745.845754960506	303.089446483827	478.129592929751	338.512619450104
"ENSG00000058056"	1769.78002674324	1358.47949072575	2600.41468449102	1870.76513905853	2325.94369177738	2236.60316563109	1864.10980985448	2674.25104763438	3087.80751982778	2141.78614180014	2277.84590947823	2595.63845418275	2694.28525180656	2789.11856381538	3426.17989880201	2141.48076796425	3423.89819830129	2832.99154133395	2107.56671824171	2347.61678560112	2396.40151701394	2389.65421291353	1618.60032059871	1600.82181660028	2295.51050774374	2709.98212638662	2695.32229358454	3007.93648685716	2792.45816648019	3318.17396094977	2679.4430946634	2593.09859769496	2553.03159998339	3136.21985667008
"ENSG00000198682"	752.343197022708	445.485168292527	423.251298388773	596.163992216893	656.60108733553	487.986145228601	516.078133515798	610.697809146866	289.371676143861	431.775450677895	454.281743755449	600.039537869358	353.006353399961	496.868755308396	406.443993956245	338.887528937104	577.412184763663	537.66230080527	444.685543168277	425.818644334566	508.131858055067	418.518741514556	229.054770752713	617.968040947916	401.2572314043	422.52683520303	534.582925212135	343.965909462875	510.508240713915	303.381626483941	348.545443208248	418.682118265947	740.750040199342	455.498598230654
"ENSG00000115423"	1658.70206092972	3107.3841851236	1517.51075275975	1459.39932701927	2425.74705705238	1532.7769946283	1485.94910857135	1297.06517190522	1646.83067724148	2130.09222334428	1805.17219229139	2036.39480557363	1751.83526780728	1370.41339207089	1440.93586802076	1996.07158001606	1295.27598203741	2170.200559614	1822.87969556822	2062.58605004248	2086.35495955661	2070.64342392691	2111.14816679773	1929.11733835386	1655.89251833042	1968.39401393739	1693.37944573185	859.410424816332	2215.12373975008	1229.54665782931	991.694772937752	1755.73436116307	1566.7013705434	1498.41615374237
"ENSG00000259240"	164.283378009921	173.188615987881	248.7891778334	216.441704180655	265.792120153423	202.284855073394	221.335233986301	252.825332066632	281.137522757654	216.78725752786	247.372042652258	278.771909944971	230.938735869134	317.652595186361	264.494960891124	251.161324637783	229.404300433131	316.731973565286	183.170720014724	244.435448979071	334.807220032046	225.356245430915	243.470805275611	222.590462117753	282.90795685589	256.370323410282	239.015120254528	274.365769424932	231.152872941279	219.275829042848	219.915577262347	207.520702097035	225.532826853656	251.395401209268
"ENSG00000143643"	1054.77396108643	1644.79130675196	1059.1605662119	1055.62796074074	1327.91003902738	996.826399227654	1041.05416588532	924.058784102692	1141.01839780303	1127.11383270709	1130.1867673592	974.001856088221	1162.39163720797	1015.20052380506	1004.87660817323	1034.68851920158	1245.33763092271	1341.22304855424	1202.74749889187	1150.48769625485	1339.22888012819	1192.63207809218	1276.6199460833	1062.13257037923	1043.20231329469	1044.84923059857	1155.59542515917	978.43675125803	1170.00601090657	1020.28342371992	1117.21262599786	1125.89082672821	1164.75175468422	1474.77005164843
"ENSG00000259823"	26.1359919561239	21.022895582344	36.1312083990416	21.5175963220534	27.3146052331581	25.0249305245436	16.6835603507262	46.2919622093834	41.1707669310371	38.6798841232281	15.6331774166855	38.2461461814747	52.7859967700877	32.1945197824015	38.8062104782344	39.6570512585973	20.2874551403449	35.192441507254	30.89626602658	47.5051225931057	45.2151229625272	43.9005672917367	32.0356322731067	32.5246337341008	47.5391748888276	44.8520645330116	16.0054768027585	45.3913956769189	33.9608486311832	30.0377848003902	26.9707783434953	48.2394614523808	22.0520986256908	11.2007852023931
"ENSG00000287950"	81.2082607208134	97.1057557851126	50.5836917586582	34.1750059232614	35.7190991510528	58.3915045572685	34.4793580581675	21.3655210197154	56.4627660768509	33.2826909897544	29.4271574902315	45.8953754177696	73.680453824914	19.3167118694409	45.9547229347513	63.6916277789593	35.8931898636871	37.1475771465459	47.4478371122479	48.3688520947986	40.9089207756198	43.1688911702077	113.726494569529	21.3442908880037	30.5846439844205	29.5615879876667	59.7537800636319	32.2783258146979	37.2473823696848	34.0428227737756	25.9334407148994	35.4969622008085	43.1018291320321	37.3359506746438
"ENSG00000277224"	24.2691353878293	60.0654159495542	59.8745739184117	39.2379697637445	32.5674139318423	43.7936284179513	86.7545138237764	163.802327817818	108.220301647298	68.3644463573333	44.1407362353472	58.6440908115945	82.478119953262	66.5353408836298	102.121606521669	40.8587800846154	74.9075266720427	33.2373058679621	46.34439903987	38.8678275761774	32.2965164018051	71.7042599098366	76.885517455456	27.4426597131476	77.12649352593	62.1812712844024	32.0109536055171	104.904558897768	48.2024948313568	122.153658188253	103.733762859597	72.814281437556	42.0994610126825	112.007852023931
"ENSG00000133134"	276.294772107595	802.874393192374	743.270572780284	202.518553619327	506.370758553161	758.046853805967	601.720409982859	1503.59854176247	1795.04543819322	666.553351984	477.271710544692	825.266843160264	1816.71805550385	1266.31777810779	2312.0331716506	382.149766673756	1910.14193013709	717.534779620124	493.236818352902	468.141389917515	653.46618186319	621.193027178074	1164.49523312743	300.852862040433	1124.98299177477	718.652397631208	584.733419194112	2275.6219699362	1062.64590878218	2266.85149293611	1281.11197131603	1112.23814895867	479.131961049101	1059.09646747073
"ENSG00000198915"	1513.08724860274	2121.31027328509	1947.98829282833	2649.19582953282	2136.84257862475	1634.96212760352	1552.68334997425	1508.04969197491	1622.12821708286	2165.17397871186	2052.54423494365	1914.8570521525	1778.22826619233	2044.3520061825	1392.93871295557	3351.62169576448	1167.308957306	2340.29736023239	1768.81123002171	2930.63419924378	2380.25325881304	2165.02964360415	2091.92678743387	2220.82264715657	3160.1915838685	2133.53116062712	2078.57792078491	1224.5589855951	2010.26313671681	1472.85271471247	1467.8327444633	1714.77632785444	2036.81201851835	1184.79416807536
"ENSG00000267426"	332.300469156432	403.439377127839	355.11816255058	417.694516839861	421.275257634476	406.655121023834	370.375039786122	360.543167207698	343.48182696751	428.177321922245	340.251508480802	356.114116667509	358.504894730179	380.968484091751	347.213462173676	388.158410803846	323.038708773184	348.991711613602	355.30705930567	387.814546260081	448.921577985091	357.789623427654	397.241840186523	405.54152687207	485.032560579017	425.075247960587	431.08084188763	321.77456046527	358.232177496675	368.463493551453	359.956157122803	341.316944238544	404.956720217232	329.80089762602
