"X11320_TCX"	"X11322_TCX"	"X11323_TCX"	"X11325_TCX"	"X11337_TCX"	"X11340_TCX"	"X11341_TCX"	"X11391_TCX"	"X11394_TCX"	"X11400_TCX"	"X11417_TCX"	"X11422_TCX"	"X11428_TCX"	"X11429_TCX"	"X11430_TCX"	"X11431_TCX"	"X11463_TCX"	"X11465_TCX"	"X11468_TCX"	"X11474_TCX"	"X11485_TCX"	"X1926_TCX"	"X1929_TCX"	"X1930_TCX"	"X1931_TCX"	"X1933_TCX"	"X1935_TCX"	"X1936_TCX"	"X1937_TCX"	"X1940_TCX"	"X1941_TCX"	"X1942_TCX"	"X1943_TCX"	"X1944_TCX"	"X1945_TCX"	"X1951_TCX"	"X1952_TCX"	"X1955_TCX"	"X1956_TCX"	"X1959_TCX"	"X1960_TCX"	"X1963_TCX"
"ENSG00000284491"	51.713732005944	57.7569644077281	70.2298533601753	51.7287488027793	85.7967081417561	55.5809451823212	53.677355930548	66.3102478152247	60.7252141928996	61.7225295066741	70.3949695377117	43.8116780916854	55.9891765845174	60.9209284067866	64.7705613187232	47.7117780161169	44.2393778645585	79.3276854082788	53.629672985687	46.1236199755587	59.3506163991358	84.7395271426567	74.2451776497353	97.6476736927699	104.507475115754	115.39297636837	53.1351582051464	76.2216562073833	58.4890799479666	77.3841852311392	59.5222969163921	40.3467982527917	67.5154684292854	76.6110584485639	66.6534971109706	71.3293601164872	76.5067420123858	66.6450514262106	92.8995949430293	89.5904092833768	75.4207769972962	65.732484292366
"ENSG00000247193"	54.3432438028564	44.6303815877899	35.1149266800877	71.6244214192329	144.839604067266	62.3867752046462	84.541835590613	35.7864829478991	63.2910683137263	52.3469554043945	76.7945122229582	109.529195229214	60.1060278039672	61.9534865153762	42.5635117237324	64.8160003237814	45.6664545698669	97.2626403701505	108.708796592609	40.3581674786138	132.945380734064	107.276635425278	110.415905222683	112.837311822756	66.3395276821745	142.929936638094	76.3817899198979	45.9958270216968	57.4806475350706	84.4191111612427	57.3177674009702	76.0825338481216	96.6397881438791	112.18047844254	46.960418419093	73.310731230834	46.5693212249305	34.6554267416295	46.4497974715146	108.341890296177	79.8572932912548	94.1838580905543
"ENSG00000187109"	11043.9495470321	13955.307748637	11099.4152067912	12224.8960391799	13202.5450560933	10695.3618800838	11100.4772064373	11592.7153878871	14643.3294675582	14341.5031851204	10812.027366724	12205.0111652258	12482.2928973718	16961.8320498014	11626.3157567108	12194.4102831381	15976.1237159269	12886.9549460649	10140.3565461585	14830.6656396411	14695.212620426	12172.7429256095	14066.6055808691	22029.3151850889	13184.2995563423	26314.8437472778	10196.4154630751	16789.7910294057	13594.6773582506	55843.2420331621	16088.6564035493	12172.0526500351	13029.1615741378	27719.5226122286	12962.5903358767	13168.1924259493	15011.9533348651	13798.1914472826	16131.565147688	22314.2624052317	12966.1625207234	13521.2701271252
"ENSG00000137338"	596.022673966812	656.32914099691	915.053677604637	652.578061819678	474.188257901749	642.016632105995	707.199164384969	509.431110199504	675.674918484375	821.925329633179	958.864812339437	683.692766009723	820.900133158292	642.251143542733	820.735541281536	673.366225585951	736.371579939103	786.378794482068	508.757168053409	914.785129515247	572.139942087669	846.493787095262	692.00313014561	447.009350682458	711.55959144031	532.381231881342	653.119652938258	712.278235593133	541.528205725139	450.235259526628	753.9490942743	627.10452141482	562.628903577378	500.707989145971	763.485512362027	547.849113116909	712.954132086436	722.432357460123	549.156476558391	425.033569623462	540.367684604157	635.741042111242
"ENSG00000166402"	4633.19978615966	6668.3040725286	3872.96985442143	3615.04371440962	2108.9384388393	3971.20181802666	4148.58864648222	5294.29438905683	4826.3716012751	5318.29440951811	2860.59558030519	5195.14267055617	4675.0962448072	2494.66039035248	4895.72914196235	5341.91869335165	4172.77228632158	2234.97131063325	4084.55185063962	6322.7795716495	3489.81624426919	2067.10357168204	3693.22165744837	3246.24266320853	3590.51334071605	2873.02285480793	3794.73588181754	4436.62605786424	4378.61353679433	1871.29029740755	3808.32473789139	3887.12582024039	3240.7424846057	3485.80315940966	4752.84879967433	3593.21651586804	4009.39679879401	3569.50895438784	3671.03238081325	2708.54725740441	5215.56855517773	3956.70312165839
"ENSG00000182983"	90.2799050273259	130.390722678053	129.098995147381	154.191462777515	236.171583702038	189.42893562138	205.315886434346	132.620495630449	144.54311547324	142.196207217907	246.382393381991	201.764307001183	141.619681949073	155.91627439703	152.673465965562	189.046667611029	122.728596656517	246.2607277457	213.069241321513	116.269958688387	220.784293004785	210.045849194032	158.008967818667	119.347156735608	100.872432503032	146.863788105198	143.907720138938	103.819152420401	84.708322683262	151.250907497227	102.51062246712	137.179114059492	137.67860228717	131.333243054681	137.851550843144	148.602833576015	129.728823412306	106.632082281937	86.9060726886403	168.763329115198	109.138300831382	114.786577047863
"ENSG00000267001"	1719.70071518071	976.617761803402	990.447490770708	705.30159425328	566.442782785358	708.940627325525	797.779702517769	1311.46934567889	670.543210242722	841.457775679595	808.475559236143	642.186965712336	773.968029256564	997.451132897557	802.229666619044	608.55022526217	535.153764490627	631.862259425942	569.63409414527	708.189748374723	734.760631021302	1025.88916902493	730.077580222397	1299.79903426598	1025.99077744075	529.758664236607	1176.72235775147	1052.64735555369	1094.14916799213	576.863926268492	1018.49263612493	1100.89120946903	847.252937151817	898.811882155472	780.14888663977	881.710145884355	755.088279861373	1058.32341664822	834.597973923666	643.800848106126	982.244707482434	933.989926064664
"ENSG00000134265"	2015.95904429951	5128.11835498919	2478.70070682972	2688.9001541137	2364.48347276689	2973.01341475232	3525.93131768787	2171.39748004458	4310.63492298893	4617.47024537271	1797.20490410673	5235.49553195641	4058.39193213362	2334.61388352109	3406.93152536484	3314.61823878004	6105.03414530908	2587.46215623003	1730.64404175433	5986.46150932772	1858.86130562093	2159.05497347514	4607.96032054319	1560.19283078003	1907.48861102581	2513.73108747915	1886.2981162827	4342.00607084818	2939.58048359177	2216.00166798262	3782.97264846403	2722.83249923126	2506.01532816936	2124.58881733249	4504.41303771525	2637.20495319568	4214.52357085621	3640.15270889962	4358.03986922259	1487.61749368212	3389.49844858437	4055.79238902449
"ENSG00000117143"	1025.50960079584	1450.04984884251	1060.67734413088	1375.78576142777	583.048597264407	780.401842559938	751.482983027671	1340.9405669301	1310.29617103552	1425.86856138836	738.080589698432	1007.66859610876	1177.41944876265	1124.45578025408	1045.58191843082	1058.66133862176	1215.86935292271	689.116154111917	771.107730496905	1398.12223050912	630.303546158822	845.592302763957	1160.31886609009	748.632164977903	952.381164533135	975.595163841672	888.906917473595	1350.96314795155	1616.51715787225	770.32438934634	1104.46928722639	866.87977960284	892.263249438007	897.44382754032	1089.93616298508	830.194496911337	1394.86205002292	1204.94252978589	1296.09918751162	583.379409287104	1228.02771016774	1197.90094508924
"ENSG00000239713"	49.0842202090316	71.7586527489955	57.8363498260267	134.295790161062	183.586504518381	112.296195368363	74.4773313536353	63.1526169668807	84.6731859872825	45.3152748276848	66.1286077475474	63.4116393432289	79.0435434134363	87.7674392301163	89.7534921130879	113.428000566617	67.072605149492	119.336431092454	131.900006532365	46.1236199755587	105.644097190462	48.6801538904624	76.1489001535747	115.00726012704	122.682688179364	186.202302776233	84.1306671581484	44.6816605353626	64.5396744253424	179.390611217641	50.7041788547044	129.109754408934	149.593096715868	103.972150751622	31.8118963484178	56.4690767588857	82.0507088248775	51.9831401124443	68.9255059254733	170.846827005509	131.320882301175	88.2973669598947
