"BM_22_135"	"BM_22_172"	"hB_RNA_9191"	"BM_22_167"	"hB_RNA_9186"	"BM_22_72"	"BM_22_2"	"BM_22_6"	"hB_RNA_9211"	"BM_22_134"	"BM_22_123"	"hB_RNA_9152"	"BM_22_63"	"hB_RNA_9210"	"hB_RNA_9223"	"hB_RNA_9160"	"BM_22_163"	"BM_22_211"	"hB_RNA_9205"	"hB_RNA_9171"	"BM_22_64"	"hB_RNA_9218"	"BM_22_160"	"BM_22_18"	"hB_RNA_9179"	"hB_RNA_9224"	"hB_RNA_9222"	"BM_22_41"	"BM_22_37"	"hB_RNA_9177"	"hB_RNA_9148"	"BM_22_92"
"ENSG00000204642"	127.557835018437	187.989713446493	193.838643284186	151.091184017217	151.108633043146	151.346102219497	234.265282243381	234.124023550664	111.469736795774	208.694494354477	157.247309598603	139.249781757089	187.838071998606	253.987290098017	189.539143524368	354.483589863853	128.032073155929	138.902453112119	133.503679494101	135.864720769732	130.12199274152	158.422046797324	145.944792603106	120.351255848826	127.354074954825	144.151577037787	315.59705859465	143.81350601696	130.92866215213	96.270570692404	154.02785855977	132.611037084167
"ENSG00000114126"	3744.04238509289	3168.69259262903	2920.64742296734	4012.50110282087	2988.35814158054	2719.90566560181	2563.50597019761	2859.24983465184	2418.51754778248	2763.92952279222	2538.96875498232	3045.17285895108	2926.37346048101	2787.81287464728	2307.07860719984	4603.26565420935	3543.68224399391	2657.59459118422	2885.37177723519	3026.26085447839	4127.53426665183	2725.10482049041	2512.33535838205	4757.57772159321	2492.50118125871	2588.40594909078	2949.89041708805	4047.32295504874	4565.67993940557	4251.10572689089	3842.22493177345	2704.8441690977
"ENSG00000171608"	353.64310122353	566.87619776391	503.109287625247	438.679517231806	600.207717262287	495.550380410123	459.589141500374	513.930783403897	622.47706952247	391.938440616945	330.794645192183	770.454384590211	409.548583210075	514.021896626939	599.188260173809	602.521682488135	359.542123246103	375.470693568697	554.698386630421	708.509358680674	494.625214644785	537.898112381613	391.32449884789	495.291706762477	702.468905504786	599.367083472903	394.496323243313	426.875009923359	547.85233492707	559.382684444285	787.082357240422	477.820720922318
"ENSG00000285555"	55.4216800424935	50.388995356792	67.5168308068513	71.2532288263012	50.7217789235735	48.4307527102389	31.2949804523601	52.2088414886499	35.0691306773223	79.4057100470694	69.0354042140209	87.0311135981808	51.3218775952475	31.7484112622521	18.3424977604227	88.3698467649265	70.154560633386	81.3881561203824	53.5895051490407	41.262618900437	71.1225798835639	36.842336464494	50.5193512856907	59.2498490332682	56.6018110910331	45.5215506435116	23.5520192981082	44.8941632539718	78.9960643152518	107.417689404156	60.0708648383101	27.3641822554631
"ENSG00000101126"	2482.5393822209	1950.63553179274	2319.52983255796	2596.87972529592	2282.48005156081	2820.22651050159	2297.94570750187	2092.4324752873	2362.15644490821	2363.84690678584	2757.58086832672	2351.67230112137	2821.67683018671	2367.52438269937	2331.5352708804	2539.62889168749	2719.36615655162	2538.22529554099	2520.58707551891	2221.13658325035	2511.11199657083	2359.13761160977	2736.86580854067	2831.03184912085	2136.7183686865	2254.5812443717	2812.11110419412	2601.5787146666	2682.20896151878	2339.88155503959	2331.98177859491	2616.43681104159
"ENSG00000188092"	1089.07999829535	795.564715152427	831.981592523135	940.027536925299	778.790647222369	878.672227742906	881.624306457915	948.732541426559	680.0906413495	1436.42893431301	960.742708645124	753.048161870575	764.695976169188	743.819921001335	549.255905159325	1731.24563434924	1060.21079757205	901.780769813837	675.979898283513	647.118632999536	1070.87975392866	593.161617078354	1011.18892017867	1110.00889048263	701.458158878161	681.558772134799	679.475756750422	1028.00024671383	1122.76813633251	804.61929610283	837.911550565146	821.977936212181
"ENSG00000119616"	270.070726556278	296.519857291891	263.533436375129	242.947756118593	340.258600278972	349.393287409581	244.994989827047	318.96339096972	365.720934206361	293.190314019949	261.759240978162	222.616427414294	350.015205199588	282.712043144816	383.154397662164	343.437359018237	277.987446509792	323.382273651653	254.785191147194	267.703820183323	289.339586344499	401.581467462985	279.059273768577	254.589195064824	270.880095935659	281.980716486197	498.125208154989	263.277635353801	226.747962386371	232.062744090111	274.16958823639	271.536885458057
"ENSG00000231574"	73.0158641829676	294.581819008938	39.2033211136556	72.9701740992242	25.3608894617868	48.4307527102389	90.3083721625248	85.6551305673162	11.2722205748536	238.217130141208	48.9000779849315	37.5607963950043	54.4011902509624	22.6774366158944	7.13319357349773	17.0714476704972	48.2312604354529	66.1957003112444	28.2050027100214	43.2754295785071	48.49266810243	12.280778821498	105.850069360495	37.0311556457926	33.3546386786445	48.0505256792622	11.7760096490541	70.0044579553458	62.172828396263	46.6152237036904	15.402785855977	176.814716112223
"ENSG00000134007"	280.627237040562	135.662679806748	167.703095875082	188.863980021521	160.618966591316	304.421874178645	266.45440499438	261.859970591509	136.519115851005	181.207902415107	189.847361588557	125.508026978429	193.996697310036	131.529132372187	96.8076270688977	185.777518767175	273.602786470205	246.334819191024	172.990683288131	146.935179499117	258.62756321296	105.614697864883	303.116107714144	286.065677363748	157.676473753592	177.028252502545	90.6752742977166	235.884586588665	267.708884623909	176.327150531351	169.430644415747	138.92584837389
"ENSG00000172785"	738.955733899913	623.079307969562	609.829439545754	682.485745986861	628.738717906797	839.75465860075	731.408400286587	803.526701036252	517.269677490504	702.43512733946	598.306836521514	567.992530851285	606.624593175826	539.722991458286	491.171328917986	779.261376017988	817.300631378947	632.657266909106	579.14272231244	551.510125791207	900.347204435116	547.722735438811	875.668755618639	908.189092213065	504.36256668617	539.936170132762	475.750789821786	685.587137149637	820.681334830671	659.706752850053	616.881573531877	833.555090243338
