"Node.1" "Node.2" "CN"
"ENSG00000286555" "ENSG00000079805" 0.53
"ENSG00000118873" "ENSG00000113163" 0.54
"ENSG00000137727" "ENSG00000250166" 0.53
"ENSG00000115947" "ENSG00000139131" 0.52
"ENSG00000138442" "ENSG00000234661" 0.51
"ENSG00000228172" "ENSG00000091157" -0.54
"ENSG00000163376" "ENSG00000163558" 0.51
"ENSG00000141086" "ENSG00000079805" 0.53
"ENSG00000134709" "ENSG00000004975" -0.54
"ENSG00000006025" "ENSG00000104936" 0.53
"ENSG00000152382" "ENSG00000014824" 0.53
"ENSG00000075945" "ENSG00000248692" 0.53
"ENSG00000186377" "ENSG00000175215" -0.54
"ENSG00000146267" "ENSG00000141905" -0.54
"ENSG00000152219" "ENSG00000254433" 0.54
"ENSG00000115419" "ENSG00000185658" 0.54
"ENSG00000113643" "ENSG00000100934" 0.53
"ENSG00000089818" "ENSG00000063169" -0.52
"ENSG00000111845" "ENSG00000259678" 0.52
"ENSG00000287542" "ENSG00000152402" 0.53
"ENSG00000163558" "ENSG00000088881" -0.53
"ENSG00000117298" "ENSG00000040341" -0.53
"ENSG00000144227" "ENSG00000166006" 0.52
"ENSG00000163818" "ENSG00000198836" 0.56
"ENSG00000287844" "ENSG00000156860" -0.54
"ENSG00000105819" "ENSG00000167005" 0.54
"ENSG00000115419" "ENSG00000163558" 0.54
"ENSG00000221823" "ENSG00000283900" -0.52
"ENSG00000075945" "ENSG00000145349" 0.54
"ENSG00000204116" "ENSG00000187792" -0.53
"ENSG00000229956" "ENSG00000162694" 0.53
"ENSG00000288558" "ENSG00000089060" -0.51
"ENSG00000061676" "ENSG00000059145" -0.53
"ENSG00000061676" "ENSG00000214265" 0.55
"ENSG00000138814" "ENSG00000146267" 0.53
"ENSG00000148925" "ENSG00000133315" -0.52
"ENSG00000100523" "ENSG00000129636" 0.52
"ENSG00000079785" "ENSG00000287319" 0.55
"ENSG00000002933" "ENSG00000125675" -0.52
"ENSG00000100478" "ENSG00000007168" 0.54
"ENSG00000138641" "ENSG00000161791" -0.51
"ENSG00000169871" "ENSG00000153048" 0.52
"ENSG00000138430" "ENSG00000145863" 0.53
"ENSG00000138430" "ENSG00000133997" 0.56
"ENSG00000075391" "ENSG00000131558" 0.52
"ENSG00000163281" "ENSG00000168116" 0.52
"ENSG00000104643" "ENSG00000260281" 0.55
"ENSG00000134121" "ENSG00000136143" 0.52
"ENSG00000164830" "ENSG00000058272" 0.54
"ENSG00000271894" "ENSG00000104321" 0.53
"ENSG00000134121" "ENSG00000274349" 0.53
"ENSG00000254692" "ENSG00000130303" 0.54
"ENSG00000228172" "ENSG00000103494" -0.54
"ENSG00000152078" "ENSG00000149313" 0.52
"ENSG00000204427" "ENSG00000174684" 0.53
"ENSG00000112237" "ENSG00000188419" 0.55
"ENSG00000143889" "ENSG00000081307" 0.53
"ENSG00000148925" "ENSG00000103326" -0.52
"ENSG00000127824" "ENSG00000140854" 0.52
"ENSG00000240891" "ENSG00000198961" 0.54
"ENSG00000138430" "ENSG00000168309" -0.53
"ENSG00000079785" "ENSG00000204186" 0.55
"ENSG00000135547" "ENSG00000088888" 0.54
"ENSG00000174953" "ENSG00000186908" 0.55
"ENSG00000060982" "ENSG00000100934" 0.54
"ENSG00000198836" "ENSG00000159082" 0.54
"ENSG00000226026" "ENSG00000079785" 0.53
"ENSG00000110651" "ENSG00000134343" -0.51
"ENSG00000166006" "ENSG00000171817" 0.52
"ENSG00000251314" "ENSG00000104427" 0.53
"ENSG00000287319" "ENSG00000274180" -0.53
"ENSG00000282218" "ENSG00000100083" -0.52
"ENSG00000120251" "ENSG00000110801" -0.53
"ENSG00000057663" "ENSG00000130702" -0.54
"ENSG00000272772" "ENSG00000259712" 0.55
"ENSG00000152332" "ENSG00000137040" 0.53
"ENSG00000138095" "ENSG00000157637" -0.52
"ENSG00000138095" "ENSG00000136021" 0.52
"ENSG00000186377" "ENSG00000141971" -0.52
"ENSG00000163702" "ENSG00000093010" 0.54
"ENSG00000164815" "ENSG00000160200" -0.53
"ENSG00000240553" "ENSG00000116750" 0.51
"ENSG00000163624" "ENSG00000161847" -0.52
"ENSG00000142875" "ENSG00000133703" 0.55
"ENSG00000179314" "ENSG00000093010" 0.54
"ENSG00000071794" "ENSG00000129636" 0.52
"ENSG00000108061" "ENSG00000151893" 0.53
"ENSG00000204116" "ENSG00000110429" 0.53
"ENSG00000125520" "ENSG00000269439" 0.52
"ENSG00000152503" "ENSG00000142002" -0.55
"ENSG00000271894" "ENSG00000042813" 0.54
"ENSG00000087470" "ENSG00000011132" -0.52
"ENSG00000102471" "ENSG00000132005" -0.52
"ENSG00000132692" "ENSG00000184613" -0.52
"ENSG00000287151" "ENSG00000149970" 0.53
"ENSG00000196305" "ENSG00000148925" 0.53
"ENSG00000163870" "ENSG00000091157" -0.53
"ENSG00000169629" "ENSG00000140497" -0.52
"ENSG00000175395" "ENSG00000158717" -0.52
"ENSG00000164129" "ENSG00000107105" 0.53
"ENSG00000091073" "ENSG00000103591" -0.54
"ENSG00000151025" "ENSG00000105329" -0.54
"ENSG00000077264" "ENSG00000255082" 0.54
"ENSG00000004766" "ENSG00000129682" 0.53
"ENSG00000014824" "ENSG00000123545" 0.53
"ENSG00000047315" "ENSG00000138663" 0.53
"ENSG00000145864" "ENSG00000124570" -0.53
"ENSG00000160796" "ENSG00000101247" -0.53
"ENSG00000061273" "ENSG00000103335" 0.52
"ENSG00000047188" "ENSG00000135317" 0.54
"ENSG00000178074" "ENSG00000260281" 0.51
"ENSG00000088179" "ENSG00000150627" 0.53
"ENSG00000120251" "ENSG00000164465" 0.53
"ENSG00000120251" "ENSG00000165209" 0.53
"ENSG00000259115" "ENSG00000130283" -0.52
"ENSG00000109738" "ENSG00000067992" 0.54
"ENSG00000104388" "ENSG00000153933" 0.54
"ENSG00000061676" "ENSG00000113161" 0.54
"ENSG00000287542" "ENSG00000104774" -0.53
"ENSG00000134709" "ENSG00000235978" 0.53
"ENSG00000172209" "ENSG00000068366" 0.53
"ENSG00000229953" "ENSG00000166342" -0.52
"ENSG00000172795" "ENSG00000153933" 0.53
"ENSG00000197724" "ENSG00000102967" 0.55
"ENSG00000065559" "ENSG00000079432" -0.53
"ENSG00000145730" "ENSG00000157540" 0.54
"ENSG00000054277" "ENSG00000161847" -0.54
"ENSG00000231760" "ENSG00000149313" 0.55
"ENSG00000175395" "ENSG00000109118" -0.51
"ENSG00000155970" "ENSG00000186635" -0.54
"ENSG00000065150" "ENSG00000104164" 0.54
"ENSG00000145730" "ENSG00000079337" -0.54
"ENSG00000109670" "ENSG00000109738" 0.55
"ENSG00000167395" "ENSG00000129636" -0.53
"ENSG00000142875" "ENSG00000164187" 0.54
"ENSG00000117298" "ENSG00000028839" -0.51
"ENSG00000164129" "ENSG00000102471" 0.52
"ENSG00000127824" "ENSG00000167770" 0.52
"ENSG00000109158" "ENSG00000224223" 0.54
"ENSG00000127663" "ENSG00000105221" 0.54
"ENSG00000138079" "ENSG00000047597" 0.54
"ENSG00000107758" "ENSG00000108395" 0.55
"ENSG00000015479" "ENSG00000156735" 0.54
"ENSG00000112218" "ENSG00000078043" 0.53
"ENSG00000285816" "ENSG00000275832" 0.52
"ENSG00000113966" "ENSG00000187522" 0.54
"ENSG00000248333" "ENSG00000117598" -0.52
"ENSG00000135655" "ENSG00000166479" 0.53
"ENSG00000134318" "ENSG00000071564" -0.52
"ENSG00000126391" "ENSG00000081138" -0.51
"ENSG00000115947" "ENSG00000047621" 0.55
"ENSG00000169851" "ENSG00000111728" 0.53
"ENSG00000186106" "ENSG00000185033" -0.51
"ENSG00000107742" "ENSG00000139726" 0.52
"ENSG00000250910" "ENSG00000259678" 0.55
"ENSG00000118276" "ENSG00000079805" -0.52
"ENSG00000272758" "ENSG00000164713" -0.53
"ENSG00000139116" "ENSG00000089060" -0.53
"ENSG00000075790" "ENSG00000185291" -0.52
"ENSG00000118454" "ENSG00000139220" 0.51
"ENSG00000079785" "ENSG00000113327" 0.55
"ENSG00000287364" "ENSG00000143951" 0.52
"ENSG00000197724" "ENSG00000110675" -0.56
"ENSG00000223442" "ENSG00000011304" -0.51
"ENSG00000066739" "ENSG00000104093" 0.54
"ENSG00000115947" "ENSG00000152495" 0.55
"ENSG00000114446" "ENSG00000251314" 0.52
"ENSG00000145362" "ENSG00000091129" 0.52
"ENSG00000232040" "ENSG00000006715" 0.51
"ENSG00000205981" "ENSG00000091073" -0.52
"ENSG00000236107" "ENSG00000269439" -0.53
