Node.1	Node.2	wTO
ENSG00000087470	ENSG00000205482	-0.53
ENSG00000087470	ENSG00000124532	0.53
ENSG00000087470	ENSG00000152932	0.53
ENSG00000087470	ENSG00000137494	0.53
ENSG00000087470	ENSG00000102078	0.53
ENSG00000087470	ENSG00000048540	0.52
ENSG00000087470	ENSG00000109436	0.54
ENSG00000087470	ENSG00000238198	-0.54
ENSG00000087470	ENSG00000119396	0.54
ENSG00000087470	ENSG00000106591	0.55
ENSG00000087470	ENSG00000256591	-0.54
ENSG00000087470	ENSG00000108590	0.54
ENSG00000087470	ENSG00000162391	-0.54
ENSG00000087470	ENSG00000272047	0.52
ENSG00000087470	ENSG00000118518	0.53
ENSG00000087470	ENSG00000151470	0.52
ENSG00000087470	ENSG00000132640	0.54
ENSG00000087470	ENSG00000183605	-0.52
ENSG00000087470	ENSG00000058453	-0.53
ENSG00000087470	ENSG00000160293	-0.51
ENSG00000087470	ENSG00000178127	0.54
ENSG00000087470	ENSG00000160191	-0.53
ENSG00000087470	ENSG00000167693	-0.53
ENSG00000087470	ENSG00000196172	0.52
ENSG00000087470	ENSG00000149639	-0.52
ENSG00000087470	ENSG00000128242	-0.51
ENSG00000087470	ENSG00000087157	-0.51
ENSG00000087470	ENSG00000073169	-0.52
ENSG00000087470	ENSG00000204514	-0.53
ENSG00000087470	ENSG00000186654	-0.54
ENSG00000087470	ENSG00000167604	-0.52
ENSG00000087470	ENSG00000212694	-0.52
ENSG00000087470	ENSG00000196826	-0.52
ENSG00000014824	ENSG00000254433	0.54
ENSG00000014824	ENSG00000136531	0.52
ENSG00000014824	ENSG00000083720	0.54
ENSG00000014824	ENSG00000144635	0.54
ENSG00000014824	ENSG00000106299	0.54
ENSG00000014824	ENSG00000104643	0.55
ENSG00000014824	ENSG00000133703	0.55
ENSG00000014824	ENSG00000156642	0.52
ENSG00000014824	ENSG00000100934	0.55
ENSG00000014824	ENSG00000109436	0.53
ENSG00000254433	ENSG00000106479	-0.53
ENSG00000254433	ENSG00000151292	0.53
ENSG00000254433	ENSG00000285651	-0.54
ENSG00000254433	ENSG00000149313	0.57
ENSG00000254433	ENSG00000113161	0.55
ENSG00000254433	ENSG00000239605	-0.52
ENSG00000254433	ENSG00000255082	0.54
ENSG00000254433	ENSG00000134574	-0.51
ENSG00000254433	ENSG00000287319	0.54
ENSG00000254433	ENSG00000106299	0.56
ENSG00000254433	ENSG00000162882	-0.52
ENSG00000254433	ENSG00000133703	0.55
ENSG00000254433	ENSG00000183308	0.54
ENSG00000254433	ENSG00000112365	0.52
ENSG00000254433	ENSG00000231871	-0.53
ENSG00000254433	ENSG00000221823	0.55
ENSG00000254433	ENSG00000008869	0.54
ENSG00000254433	ENSG00000198380	0.53
ENSG00000254433	ENSG00000205269	0.54
ENSG00000254433	ENSG00000127946	-0.52
ENSG00000254433	ENSG00000115137	0.54
ENSG00000254433	ENSG00000163281	0.55
ENSG00000254433	ENSG00000143653	0.55
ENSG00000254433	ENSG00000156642	0.55
ENSG00000254433	ENSG00000015285	-0.52
ENSG00000254433	ENSG00000174428	-0.52
ENSG00000254433	ENSG00000205482	-0.53
ENSG00000254433	ENSG00000132294	0.54
ENSG00000254433	ENSG00000100934	0.56
ENSG00000254433	ENSG00000257923	-0.53
ENSG00000254433	ENSG00000137494	0.54
